region,rank,division,summonerName,win,lose,winRatio,DorF,winRatio_By_100
eun1,CHALLENGER,-,Kizuro,75,39,0.6579,2,65.79
eun1,CHALLENGER,-,Ahrïana Grande,261,226,0.5359,2,53.59
eun1,CHALLENGER,-,ElPapiChulo,157,130,0.547,1,54.7
eun1,CHALLENGER,-,Desperate Nasus,171,116,0.5958,2,59.58
eun1,CHALLENGER,-,NezukoINThebox,119,69,0.633,2,63.3
eun1,CHALLENGER,-,Bel,181,153,0.5419,1,54.190000000000005
eun1,CHALLENGER,-,Natrium,244,192,0.5596,2,55.96
eun1,CHALLENGER,-,Void Is So Empty,161,127,0.559,2,55.900000000000006
eun1,CHALLENGER,-,DafnisK,360,307,0.5397,2,53.97
eun1,CHALLENGER,-,Scaryride,317,268,0.5419,1,54.190000000000005
eun1,CHALLENGER,-,AwcyS,363,314,0.5362,2,53.620000000000005
eun1,CHALLENGER,-,Smutny Bambol,178,142,0.5563,1,55.63
eun1,CHALLENGER,-,Csak1maradhat,316,269,0.5402,2,54.02
eun1,CHALLENGER,-,Styyyl,434,386,0.5293,2,52.93
eun1,CHALLENGER,-,Mæstro V2,113,87,0.565,2,56.49999999999999
eun1,CHALLENGER,-,SanSiroBro,99,87,0.5323,1,53.23
eun1,CHALLENGER,-,Lara Cröft,138,112,0.552,1,55.2
eun1,CHALLENGER,-,Ðaglas,162,131,0.5529,1,55.28999999999999
eun1,CHALLENGER,-,Snoopy,196,154,0.56,2,56.00000000000001
eun1,CHALLENGER,-,YOU WILL DODGE 2,200,171,0.5391,1,53.910000000000004
eun1,CHALLENGER,-,Raiven,424,395,0.5177,1,51.77
eun1,CHALLENGER,-,Erring,258,234,0.5244,1,52.44
eun1,CHALLENGER,-,TourDeValas,333,301,0.5252,1,52.52
eun1,CHALLENGER,-,Kayto,257,208,0.5527,1,55.269999999999996
eun1,CHALLENGER,-,Mofre,291,265,0.5234,2,52.339999999999996
eun1,CHALLENGER,-,Ragnar Łothbrοk,151,109,0.5808,2,58.08
eun1,CHALLENGER,-,Rich Krzna,197,154,0.5613,2,56.13
eun1,CHALLENGER,-,Kugai,223,194,0.5348,2,53.480000000000004
eun1,CHALLENGER,-,lIl LeXaR lIl,123,82,0.6,2,60.0
eun1,CHALLENGER,-,Rókí,196,154,0.56,2,56.00000000000001
eun1,CHALLENGER,-,el Chap1nh0,115,73,0.6117,2,61.17
eun1,CHALLENGER,-,Ξ KG Ξ,120,88,0.5769,1,57.69
eun1,CHALLENGER,-,ΨWeed WizardΨ,546,496,0.524,1,52.400000000000006
eun1,CHALLENGER,-,LunaTown,335,297,0.5301,1,53.010000000000005
eun1,CHALLENGER,-,I am Budzik,173,139,0.5545,1,55.45
eun1,CHALLENGER,-,ye ok,171,142,0.5463,2,54.63
eun1,CHALLENGER,-,Jg diff bitsh,290,250,0.537,2,53.7
eun1,CHALLENGER,-,xlnt,431,381,0.5308,2,53.080000000000005
eun1,CHALLENGER,-,nyctophiliac,163,134,0.5488,1,54.879999999999995
eun1,CHALLENGER,-,ForceUp,208,174,0.5445,2,54.449999999999996
eun1,CHALLENGER,-,Necromartin,583,513,0.5319,1,53.190000000000005
eun1,CHALLENGER,-,Térrør,170,138,0.5519,1,55.19
eun1,CHALLENGER,-,Livin Liloka,164,123,0.5714,2,57.14
eun1,CHALLENGER,-,Nevczi,173,132,0.5672,1,56.720000000000006
eun1,CHALLENGER,-,Panic Fear,296,251,0.5411,2,54.11
eun1,CHALLENGER,-,Different Humble,167,124,0.5739,2,57.38999999999999
eun1,CHALLENGER,-,naizduP 997,279,238,0.5397,2,53.97
eun1,CHALLENGER,-,soul xo,134,99,0.5751,2,57.50999999999999
eun1,CHALLENGER,-,twtv regate1,116,61,0.6554,1,65.53999999999999
eun1,CHALLENGER,-,edru drug acc,112,56,0.6667,2,66.67
eun1,CHALLENGER,-,Jesus Wafflecat,532,485,0.5231,2,52.31
eun1,CHALLENGER,-,GGWP Svitania,256,202,0.559,2,55.900000000000006
eun1,CHALLENGER,-,Wasabo,150,114,0.5682,2,56.82000000000001
eun1,CHALLENGER,-,MENTAL SIT DOWN,302,254,0.5432,2,54.32
eun1,CHALLENGER,-,DunkingTyrant,525,509,0.5077,1,50.77
eun1,CHALLENGER,-,undying desire,221,160,0.5801,2,58.01
eun1,CHALLENGER,-,Topson fan,130,77,0.628,1,62.8
eun1,CHALLENGER,-,z23sdseddwq32324,126,86,0.5943,1,59.43000000000001
eun1,CHALLENGER,-,Stoned Lichu,339,264,0.5622,2,56.220000000000006
eun1,CHALLENGER,-,nithali,129,105,0.5513,2,55.13
eun1,CHALLENGER,-,karol big D,368,324,0.5318,1,53.18000000000001
eun1,CHALLENGER,-,SECODE,161,115,0.5833,2,58.330000000000005
eun1,CHALLENGER,-,Songu,75,47,0.6148,2,61.480000000000004
eun1,CHALLENGER,-,Dżankos Smurf,232,191,0.5485,2,54.85
eun1,CHALLENGER,-,H1ghOnDrugs,270,229,0.5411,2,54.11
eun1,CHALLENGER,-,Suicidal Supp,302,249,0.5481,2,54.81
eun1,CHALLENGER,-,Litny,240,179,0.5728,1,57.28
eun1,CHALLENGER,-,Εlite,169,127,0.5709,2,57.089999999999996
eun1,CHALLENGER,-,feelings eternal,162,106,0.6045,1,60.45
eun1,CHALLENGER,-,BYLB Eternal,202,179,0.5302,1,53.02
eun1,CHALLENGER,-,kush uwu,247,214,0.5358,2,53.580000000000005
eun1,CHALLENGER,-,5hadow,201,154,0.5662,1,56.620000000000005
eun1,CHALLENGER,-,A1M,375,341,0.5237,2,52.370000000000005
eun1,CHALLENGER,-,Laxoni,382,305,0.556,2,55.60000000000001
eun1,CHALLENGER,-,apollo321,174,140,0.5541,1,55.410000000000004
eun1,CHALLENGER,-,Lord Laki,385,352,0.5224,2,52.239999999999995
eun1,CHALLENGER,-,AramSuirad,227,178,0.5605,2,56.05
eun1,CHALLENGER,-,Alonso,486,452,0.5181,1,51.81
eun1,CHALLENGER,-,Nihility,307,268,0.5339,1,53.39
eun1,CHALLENGER,-,Revray Aries,434,382,0.5319,2,53.190000000000005
eun1,CHALLENGER,-,PolskiKoz,300,218,0.5792,2,57.92
eun1,CHALLENGER,-,contemplation,543,496,0.5226,1,52.26
eun1,CHALLENGER,-,Stuffys,105,71,0.5966,2,59.660000000000004
eun1,CHALLENGER,-,Αrcher,227,179,0.5591,1,55.910000000000004
eun1,CHALLENGER,-,F1ko,103,68,0.6023,2,60.23
eun1,CHALLENGER,-,Boots of Speed,289,247,0.5392,2,53.92
eun1,CHALLENGER,-,TAE Tiridus,210,154,0.5769,2,57.69
eun1,CHALLENGER,-,Sobczu,477,446,0.5168,1,51.68000000000001
eun1,CHALLENGER,-,HAHHAHAHAHAHAHA,421,390,0.5191,2,51.910000000000004
eun1,CHALLENGER,-,Egirls Favorite,125,87,0.5896,3,58.96
eun1,CHALLENGER,-,kolofou 58713,124,104,0.5439,2,54.39000000000001
eun1,CHALLENGER,-,Selfish Top,149,122,0.5498,2,54.98
eun1,CHALLENGER,-,90909090,216,179,0.5468,2,54.67999999999999
eun1,CHALLENGER,-,xShadowsx12,371,303,0.5504,2,55.04
eun1,CHALLENGER,-,Punman,193,147,0.5676,1,56.76
eun1,CHALLENGER,-,KotCurll,441,375,0.5404,2,54.04
eun1,CHALLENGER,-,dumb eboy,197,158,0.5549,1,55.489999999999995
eun1,CHALLENGER,-,The Barrels,203,135,0.6006,2,60.06
eun1,CHALLENGER,-,Aufpassen,270,237,0.5325,2,53.25
eun1,CHALLENGER,-,bazant25,218,177,0.5519,1,55.19
eun1,CHALLENGER,-,dxc5,153,127,0.5464,1,54.64
eun1,CHALLENGER,-,PressR DDave,226,204,0.5256,1,52.559999999999995
eun1,CHALLENGER,-,l need doctor,243,208,0.5388,2,53.879999999999995
