region,rank,division,summonerName,win,lose,winRatio,DorF
eun1,CHALLENGER,-,Kizuro,75,39,0.6579,2
eun1,CHALLENGER,-,Ahrïana Grande,261,226,0.5359,2
eun1,CHALLENGER,-,ElPapiChulo,157,130,0.547,1
eun1,CHALLENGER,-,Desperate Nasus,171,116,0.5958,2
eun1,CHALLENGER,-,NezukoINThebox,119,69,0.633,2
eun1,CHALLENGER,-,Bel,181,153,0.5419,1
eun1,CHALLENGER,-,Natrium,244,192,0.5596,2
eun1,CHALLENGER,-,Void Is So Empty,161,127,0.559,2
eun1,CHALLENGER,-,DafnisK,360,307,0.5397,2
eun1,CHALLENGER,-,Scaryride,317,268,0.5419,1
eun1,CHALLENGER,-,AwcyS,363,314,0.5362,2
eun1,CHALLENGER,-,Smutny Bambol,178,142,0.5563,1
eun1,CHALLENGER,-,Csak1maradhat,316,269,0.5402,2
eun1,CHALLENGER,-,Styyyl,434,386,0.5293,2
eun1,CHALLENGER,-,Mæstro V2,113,87,0.565,2
eun1,CHALLENGER,-,SanSiroBro,99,87,0.5323,1
eun1,CHALLENGER,-,Lara Cröft,138,112,0.552,1
eun1,CHALLENGER,-,Ðaglas,162,131,0.5529,1
eun1,CHALLENGER,-,Snoopy,196,154,0.56,2
eun1,CHALLENGER,-,YOU WILL DODGE 2,200,171,0.5391,1
eun1,CHALLENGER,-,Raiven,424,395,0.5177,1
eun1,CHALLENGER,-,Erring,258,234,0.5244,1
eun1,CHALLENGER,-,TourDeValas,333,301,0.5252,1
eun1,CHALLENGER,-,Kayto,257,208,0.5527,1
eun1,CHALLENGER,-,Mofre,291,265,0.5234,2
eun1,CHALLENGER,-,Ragnar Łothbrοk,151,109,0.5808,2
eun1,CHALLENGER,-,Rich Krzna,197,154,0.5613,2
eun1,CHALLENGER,-,Kugai,223,194,0.5348,2
eun1,CHALLENGER,-,lIl LeXaR lIl,123,82,0.6,2
eun1,CHALLENGER,-,Rókí,196,154,0.56,2
eun1,CHALLENGER,-,el Chap1nh0,115,73,0.6117,2
eun1,CHALLENGER,-,Ξ KG Ξ,120,88,0.5769,1
eun1,CHALLENGER,-,ΨWeed WizardΨ,546,496,0.524,1
eun1,CHALLENGER,-,LunaTown,335,297,0.5301,1
eun1,CHALLENGER,-,I am Budzik,173,139,0.5545,1
eun1,CHALLENGER,-,ye ok,171,142,0.5463,2
eun1,CHALLENGER,-,Jg diff bitsh,290,250,0.537,2
eun1,CHALLENGER,-,xlnt,431,381,0.5308,2
eun1,CHALLENGER,-,nyctophiliac,163,134,0.5488,1
eun1,CHALLENGER,-,ForceUp,208,174,0.5445,2
eun1,CHALLENGER,-,Necromartin,583,513,0.5319,1
eun1,CHALLENGER,-,Térrør,170,138,0.5519,1
eun1,CHALLENGER,-,Livin Liloka,164,123,0.5714,2
eun1,CHALLENGER,-,Nevczi,173,132,0.5672,1
eun1,CHALLENGER,-,Panic Fear,296,251,0.5411,2
eun1,CHALLENGER,-,Different Humble,167,124,0.5739,2
eun1,CHALLENGER,-,naizduP 997,279,238,0.5397,2
eun1,CHALLENGER,-,soul xo,134,99,0.5751,2
eun1,CHALLENGER,-,twtv regate1,116,61,0.6554,1
eun1,CHALLENGER,-,edru drug acc,112,56,0.6667,2
eun1,CHALLENGER,-,Jesus Wafflecat,532,485,0.5231,2
eun1,CHALLENGER,-,GGWP Svitania,256,202,0.559,2
eun1,CHALLENGER,-,Wasabo,150,114,0.5682,2
eun1,CHALLENGER,-,MENTAL SIT DOWN,302,254,0.5432,2
eun1,CHALLENGER,-,DunkingTyrant,525,509,0.5077,1
eun1,CHALLENGER,-,undying desire,221,160,0.5801,2
eun1,CHALLENGER,-,Topson fan,130,77,0.628,1
eun1,CHALLENGER,-,z23sdseddwq32324,126,86,0.5943,1
eun1,CHALLENGER,-,Stoned Lichu,339,264,0.5622,2
eun1,CHALLENGER,-,nithali,129,105,0.5513,2
eun1,CHALLENGER,-,karol big D,368,324,0.5318,1
eun1,CHALLENGER,-,SECODE,161,115,0.5833,2
eun1,CHALLENGER,-,Songu,75,47,0.6148,2
eun1,CHALLENGER,-,Dżankos Smurf,232,191,0.5485,2
eun1,CHALLENGER,-,H1ghOnDrugs,270,229,0.5411,2
eun1,CHALLENGER,-,Suicidal Supp,302,249,0.5481,2
eun1,CHALLENGER,-,Litny,240,179,0.5728,1
eun1,CHALLENGER,-,Εlite,169,127,0.5709,2
eun1,CHALLENGER,-,feelings eternal,162,106,0.6045,1
eun1,CHALLENGER,-,BYLB Eternal,202,179,0.5302,1
eun1,CHALLENGER,-,kush uwu,247,214,0.5358,2
eun1,CHALLENGER,-,5hadow,201,154,0.5662,1
eun1,CHALLENGER,-,A1M,375,341,0.5237,2
eun1,CHALLENGER,-,Laxoni,382,305,0.556,2
eun1,CHALLENGER,-,apollo321,174,140,0.5541,1
eun1,CHALLENGER,-,Lord Laki,385,352,0.5224,2
eun1,CHALLENGER,-,AramSuirad,227,178,0.5605,2
eun1,CHALLENGER,-,Alonso,486,452,0.5181,1
eun1,CHALLENGER,-,Nihility,307,268,0.5339,1
eun1,CHALLENGER,-,Revray Aries,434,382,0.5319,2
eun1,CHALLENGER,-,PolskiKoz,300,218,0.5792,2
eun1,CHALLENGER,-,contemplation,543,496,0.5226,1
eun1,CHALLENGER,-,Stuffys,105,71,0.5966,2
eun1,CHALLENGER,-,Αrcher,227,179,0.5591,1
eun1,CHALLENGER,-,F1ko,103,68,0.6023,2
eun1,CHALLENGER,-,Boots of Speed,289,247,0.5392,2
eun1,CHALLENGER,-,TAE Tiridus,210,154,0.5769,2
eun1,CHALLENGER,-,Sobczu,477,446,0.5168,1
eun1,CHALLENGER,-,HAHHAHAHAHAHAHA,421,390,0.5191,2
eun1,CHALLENGER,-,Egirls Favorite,125,87,0.5896,3
eun1,CHALLENGER,-,kolofou 58713,124,104,0.5439,2
eun1,CHALLENGER,-,Selfish Top,149,122,0.5498,2
eun1,CHALLENGER,-,90909090,216,179,0.5468,2
eun1,CHALLENGER,-,xShadowsx12,371,303,0.5504,2
eun1,CHALLENGER,-,Punman,193,147,0.5676,1
eun1,CHALLENGER,-,KotCurll,441,375,0.5404,2
eun1,CHALLENGER,-,dumb eboy,197,158,0.5549,1
eun1,CHALLENGER,-,The Barrels,203,135,0.6006,2
eun1,CHALLENGER,-,Aufpassen,270,237,0.5325,2
eun1,CHALLENGER,-,bazant25,218,177,0.5519,1
eun1,CHALLENGER,-,dxc5,153,127,0.5464,1
eun1,CHALLENGER,-,PressR DDave,226,204,0.5256,1
eun1,CHALLENGER,-,l need doctor,243,208,0.5388,2
eun1,CHALLENGER,-,mid useless uwu,245,176,0.5819,2
eun1,CHALLENGER,-,Túróstészta,157,129,0.549,2
eun1,CHALLENGER,-,Tökgyalu,174,145,0.5455,2
eun1,CHALLENGER,-,490,145,118,0.5513,2
eun1,CHALLENGER,-,hi im Nekro,247,153,0.6175,2
eun1,CHALLENGER,-,H2P Gucio,168,139,0.5472,2
eun1,CHALLENGER,-,Ðžejno,205,155,0.5694,2
eun1,CHALLENGER,-,Max420360,356,268,0.5705,2
eun1,CHALLENGER,-,Worthless,93,79,0.5407,2
eun1,CHALLENGER,-,berryrasp,479,408,0.54,2
eun1,CHALLENGER,-,FBI OPEN BOTLANE,226,199,0.5318,2
eun1,CHALLENGER,-,Ambis,571,530,0.5186,2
eun1,CHALLENGER,-,Trap40,282,238,0.5423,1
eun1,CHALLENGER,-,Siriαss,149,117,0.5602,2
eun1,CHALLENGER,-,PooEyedCripple,151,112,0.5741,2
eun1,CHALLENGER,-,Chad on labs,738,677,0.5216,2
eun1,CHALLENGER,-,shizeR31,194,156,0.5543,1
eun1,CHALLENGER,-,Last Remnant,284,253,0.5289,1
eun1,CHALLENGER,-,Araysh,318,272,0.539,2
eun1,CHALLENGER,-,Cougar Abuser,292,262,0.5271,2
eun1,CHALLENGER,-,K9 NaNa,340,285,0.544,2
eun1,CHALLENGER,-,Carry Only,225,194,0.537,2
eun1,CHALLENGER,-,Dodge Zalech23,207,177,0.5391,2
eun1,CHALLENGER,-,TryToStopMeee,486,455,0.5165,1
eun1,CHALLENGER,-,Catstyle,269,230,0.5391,1
