region,rank,division,summonerName,win,lose,winRatio,DorF
euw1,CHALLENGER,-,Shαwn Frost,393,333,0.5413,2
euw1,CHALLENGER,-,420WeabooSlayer,946,902,0.5119,2
euw1,CHALLENGER,-,enjawve,346,280,0.5527,2
euw1,CHALLENGER,-,maciej wartak,285,229,0.5545,2
euw1,CHALLENGER,-,Teą,1270,1225,0.509,2
euw1,CHALLENGER,-,it s just over,229,177,0.564,2
euw1,CHALLENGER,-,Targamas,657,592,0.526,2
euw1,CHALLENGER,-,ten and a half,253,194,0.566,2
euw1,CHALLENGER,-,2021Worlds,104,51,0.671,1
euw1,CHALLENGER,-,Christian Lenz,238,169,0.5848,2
euw1,CHALLENGER,-,TheDisconnect,322,264,0.5495,1
euw1,CHALLENGER,-,nap ability,426,390,0.5221,0
euw1,CHALLENGER,-,Ben Cristovao,171,109,0.6107,1
euw1,CHALLENGER,-,woshissm,354,268,0.5691,2
euw1,CHALLENGER,-,Furuy,236,193,0.5501,1
euw1,CHALLENGER,-,LIMIT12345,537,487,0.5244,2
euw1,CHALLENGER,-,2021Worlds0113,80,33,0.708,1
euw1,CHALLENGER,-,best viego ever,170,110,0.6071,1
euw1,CHALLENGER,-,Practice,289,231,0.5558,2
euw1,CHALLENGER,-,Ukazat,278,219,0.5594,2
euw1,CHALLENGER,-,Supaaa,486,434,0.5283,1
euw1,CHALLENGER,-,2021WorldsOp3N,389,329,0.5418,1
euw1,CHALLENGER,-,gaengsin,261,193,0.5749,0
euw1,CHALLENGER,-,Kaor1,750,686,0.5223,2
euw1,CHALLENGER,-,10 Feet Down,150,103,0.5929,2
euw1,CHALLENGER,-,RGO Odi11,425,355,0.5449,2
euw1,CHALLENGER,-,fooling around,330,281,0.5401,1
euw1,CHALLENGER,-,Oggman,367,322,0.5327,2
euw1,CHALLENGER,-, JungDostoevskiy,349,285,0.5505,1
euw1,CHALLENGER,-,Sticky Pillar,728,676,0.5185,0
euw1,CHALLENGER,-,LiL TommyG,793,734,0.5193,2
euw1,CHALLENGER,-,FB Kunduz,149,125,0.5438,1
euw1,CHALLENGER,-,tetris guden,304,249,0.5497,1
euw1,CHALLENGER,-,EL BARDOOOO,378,338,0.5279,2
euw1,CHALLENGER,-,ZWYRØØ,753,672,0.5284,3
euw1,CHALLENGER,-,chenzelot,260,201,0.564,2
euw1,CHALLENGER,-,Le petit baguett,184,128,0.5897,2
euw1,CHALLENGER,-,WiIIyrex Fanboy,1081,1022,0.514,1
euw1,CHALLENGER,-,Aesenar,444,400,0.5261,2
euw1,CHALLENGER,-,zmywara kaseko,133,81,0.6215,2
euw1,CHALLENGER,-,GW toucouille,451,388,0.5375,1
euw1,CHALLENGER,-,fury of kerberos,288,235,0.5507,1
euw1,CHALLENGER,-,Gloomy Night,375,332,0.5304,0
euw1,CHALLENGER,-,Jeyrus,573,526,0.5214,2
euw1,CHALLENGER,-,tryharder123,590,520,0.5315,2
euw1,CHALLENGER,-,Decay0,841,781,0.5185,1
euw1,CHALLENGER,-,happy gαme,101,54,0.6516,1
euw1,CHALLENGER,-,Xhen Doo,728,668,0.5215,2
euw1,CHALLENGER,-,borcigendale,387,337,0.5345,1
euw1,CHALLENGER,-,Hawk Stroker,251,183,0.5783,1
euw1,CHALLENGER,-,Ttv Lathyrus,347,300,0.5363,1
euw1,CHALLENGER,-,Heart of Nazgul ,126,70,0.6429,1
euw1,CHALLENGER,-,twtv Melljo,197,138,0.5881,2
euw1,CHALLENGER,-,sejun1,104,52,0.6667,1
euw1,CHALLENGER,-,hiro3,544,489,0.5266,1
euw1,CHALLENGER,-,NATANATANATANATA,535,499,0.5174,2
euw1,CHALLENGER,-,HHNeverLucky v2,140,91,0.6061,2
euw1,CHALLENGER,-,AØH,294,246,0.5444,1
euw1,CHALLENGER,-,Koupfonga,491,434,0.5308,2
euw1,CHALLENGER,-,EDG Innaxe,631,575,0.5232,2
euw1,CHALLENGER,-,Sebekx,261,219,0.5437,1
euw1,CHALLENGER,-,ShadowMonarch1,248,163,0.6034,2
