region,rank,division,summonerName,win,lose,winRatio,DorF
jp1,CHALLENGER,-,Azazel,327,283,0.5361,2
jp1,CHALLENGER,-,Hobbit,125,100,0.5556,1
jp1,CHALLENGER,-,CarterV15,1035,992,0.5106,1
jp1,CHALLENGER,-,小超夢,133,123,0.5195,2
jp1,CHALLENGER,-,Pien,249,227,0.5231,2
jp1,CHALLENGER,-,rapper,144,127,0.5314,2
jp1,CHALLENGER,-,NO GG PLZ,254,201,0.5582,1
jp1,CHALLENGER,-,Rocket Ｇrab,229,207,0.5252,1
jp1,CHALLENGER,-,佳V jjking125,285,219,0.5655,0
jp1,CHALLENGER,-,itemseller,239,237,0.5021,2
jp1,CHALLENGER,-,るあだよ,139,101,0.5792,2
jp1,CHALLENGER,-,大菜卵,267,215,0.5539,2
jp1,CHALLENGER,-,sad Iittle taka,240,194,0.553,0
jp1,CHALLENGER,-,VenTrick,131,112,0.5391,0
jp1,CHALLENGER,-,2000y,621,569,0.5218,1
jp1,CHALLENGER,-,かつてのBRONZE,262,222,0.5413,2
jp1,CHALLENGER,-,MINTAフェノール,245,203,0.5469,0
jp1,CHALLENGER,-,納豆おぐるぐる,255,213,0.5449,0
jp1,CHALLENGER,-,Cunegbi,208,176,0.5417,1
jp1,CHALLENGER,-,兎団子の宝宝,181,162,0.5277,2
jp1,CHALLENGER,-,Clover,186,158,0.5407,2
jp1,CHALLENGER,-,vりんごちゃんv,229,188,0.5492,2
jp1,CHALLENGER,-,HowLa,336,294,0.5333,1
jp1,CHALLENGER,-,る あ,172,147,0.5392,2
jp1,CHALLENGER,-,DESTRUCTION,149,137,0.521,2
jp1,CHALLENGER,-,御神楽ユウジ,442,322,0.5785,1
jp1,CHALLENGER,-,himr,192,147,0.5664,1
jp1,CHALLENGER,-,茨の楽園,214,179,0.5445,2
jp1,CHALLENGER,-,me and you,264,222,0.5432,1
jp1,CHALLENGER,-,COJA,179,128,0.5831,2
jp1,CHALLENGER,-,フリーホンコン,196,163,0.546,1
jp1,CHALLENGER,-,PhuongDepTrai,605,572,0.514,2
jp1,CHALLENGER,-,Lem0n,401,356,0.5297,1
jp1,CHALLENGER,-,ハルカミライ,721,676,0.5161,1
jp1,CHALLENGER,-,FA Roki,193,186,0.5092,1
jp1,CHALLENGER,-,七尾 百合子,198,169,0.5395,2
jp1,CHALLENGER,-,Want,210,137,0.6052,2
jp1,CHALLENGER,-,エレミーオの櫛,122,94,0.5648,2
jp1,CHALLENGER,-,天龍人,218,200,0.5215,2
jp1,CHALLENGER,-,夢のまた夢か見果てぬ夢,102,60,0.6296,0
jp1,CHALLENGER,-,wheresyuki,353,322,0.523,2
jp1,CHALLENGER,-,チェリー,239,203,0.5407,2
jp1,CHALLENGER,-,NexusGreen,185,163,0.5316,1
jp1,CHALLENGER,-,雪は俺の猫だ,145,64,0.6938,1
jp1,CHALLENGER,-,fonix1,221,199,0.5262,0
jp1,CHALLENGER,-,1Δ9,100,86,0.5376,2
jp1,CHALLENGER,-,VX Rooo4396,220,165,0.5714,0
jp1,CHALLENGER,-,ひょんじゆん,257,223,0.5354,2
jp1,CHALLENGER,-,youthofmay,138,103,0.5726,0
jp1,CHALLENGER,-,Okazu,269,241,0.5275,1
jp1,CHALLENGER,-,VX Rooo4396,220,165,0.5714,0
jp1,CHALLENGER,-,Clover,186,158,0.5407,2
jp1,CHALLENGER,-,1Δ9,100,86,0.5376,2
jp1,CHALLENGER,-,エレミーオの櫛,122,94,0.5648,2
jp1,CHALLENGER,-,NexusGreen,185,163,0.5316,1
jp1,CHALLENGER,-,納豆おぐるぐる,255,213,0.5449,0
jp1,CHALLENGER,-,ハルカミライ,721,676,0.5161,1
jp1,CHALLENGER,-,fonix1,221,199,0.5262,0
jp1,CHALLENGER,-,wheresyuki,353,322,0.523,2
jp1,CHALLENGER,-,チェリー,239,203,0.5407,2
jp1,CHALLENGER,-,雪は俺の猫だ,145,64,0.6938,1
jp1,CHALLENGER,-,COJA,179,128,0.5831,2
jp1,CHALLENGER,-,佳V jjking125,285,219,0.5655,0
jp1,CHALLENGER,-,Rocket Ｇrab,229,207,0.5252,1
jp1,CHALLENGER,-,天龍人,218,200,0.5215,2
jp1,CHALLENGER,-,小超夢,133,123,0.5195,2
jp1,CHALLENGER,-,七尾 百合子,198,169,0.5395,2
jp1,CHALLENGER,-,CarterV15,1035,992,0.5106,1
jp1,CHALLENGER,-,夢のまた夢か見果てぬ夢,102,60,0.6296,0
jp1,CHALLENGER,-,Okazu,269,241,0.5275,1
jp1,CHALLENGER,-,Lem0n,401,356,0.5297,1
jp1,CHALLENGER,-,茨の楽園,214,179,0.5445,2
jp1,CHALLENGER,-,me and you,264,222,0.5432,1
jp1,CHALLENGER,-,ひょんじゆん,257,223,0.5354,2
jp1,CHALLENGER,-,PhuongDepTrai,605,572,0.514,2
jp1,CHALLENGER,-,itemseller,239,237,0.5021,2
jp1,CHALLENGER,-,御神楽ユウジ,442,322,0.5785,1
jp1,CHALLENGER,-,sad Iittle taka,240,194,0.553,0
jp1,CHALLENGER,-,る あ,172,147,0.5392,2
jp1,CHALLENGER,-,大菜卵,267,215,0.5539,2
jp1,CHALLENGER,-,youthofmay,138,103,0.5726,0
jp1,CHALLENGER,-,DESTRUCTION,149,137,0.521,2
jp1,CHALLENGER,-,Azazel,327,283,0.5361,2
jp1,CHALLENGER,-,Cunegbi,208,176,0.5417,1
jp1,CHALLENGER,-,Hobbit,125,100,0.5556,1
jp1,CHALLENGER,-,HowLa,336,294,0.5333,1
jp1,CHALLENGER,-,Pien,249,227,0.5231,2
jp1,CHALLENGER,-,フリーホンコン,196,163,0.546,1
jp1,CHALLENGER,-,Want,210,137,0.6052,2
jp1,CHALLENGER,-,るあだよ,139,101,0.5792,2
jp1,CHALLENGER,-,FA Roki,193,186,0.5092,1
jp1,CHALLENGER,-,himr,192,147,0.5664,1
jp1,CHALLENGER,-,かつてのBRONZE,262,222,0.5413,2
jp1,CHALLENGER,-,MINTAフェノール,245,203,0.5469,0
jp1,CHALLENGER,-,VenTrick,131,112,0.5391,0
jp1,CHALLENGER,-,2000y,621,569,0.5218,1
jp1,CHALLENGER,-,rapper,144,127,0.5314,2
jp1,CHALLENGER,-,NO GG PLZ,254,201,0.5582,1
jp1,CHALLENGER,-,兎団子の宝宝,181,162,0.5277,2
jp1,CHALLENGER,-,vりんごちゃんv,229,188,0.5492,2
jp1,CHALLENGER,-,茨の楽園,214,179,0.5445,2
jp1,CHALLENGER,-,me and you,264,222,0.5432,1
jp1,CHALLENGER,-,himr,192,147,0.5664,1
jp1,CHALLENGER,-,PhuongDepTrai,605,572,0.514,2
jp1,CHALLENGER,-,七尾 百合子,198,169,0.5395,2
jp1,CHALLENGER,-,COJA,179,128,0.5831,2
jp1,CHALLENGER,-,Lem0n,401,356,0.5297,1
jp1,CHALLENGER,-,youthofmay,138,103,0.5726,0
jp1,CHALLENGER,-,Okazu,269,241,0.5275,1
jp1,CHALLENGER,-,フリーホンコン,196,163,0.546,1
jp1,CHALLENGER,-,兎団子の宝宝,181,162,0.5277,2
jp1,CHALLENGER,-,チェリー,239,203,0.5407,2
jp1,CHALLENGER,-,雪は俺の猫だ,145,64,0.6938,1
jp1,CHALLENGER,-,itemseller,239,237,0.5021,2
jp1,CHALLENGER,-,vりんごちゃんv,229,188,0.5492,2
jp1,CHALLENGER,-,VX Rooo4396,220,165,0.5714,0
jp1,CHALLENGER,-,Clover,186,158,0.5407,2
jp1,CHALLENGER,-,ハルカミライ,721,676,0.5161,1
jp1,CHALLENGER,-,rapper,144,127,0.5314,2
jp1,CHALLENGER,-,NO GG PLZ,254,201,0.5582,1
jp1,CHALLENGER,-,るあだよ,139,101,0.5792,2
jp1,CHALLENGER,-,FA Roki,193,186,0.5092,1
jp1,CHALLENGER,-,Want,210,137,0.6052,2
jp1,CHALLENGER,-,2000y,621,569,0.5218,1
jp1,CHALLENGER,-,VenTrick,131,112,0.5391,0
jp1,CHALLENGER,-,Hobbit,125,100,0.5556,1
