region,rank,division,summonerName,win,lose,winRatio
kr,CHALLENGER,-,살퀸레,618,541,0.5332
kr,CHALLENGER,-,BRO Listo,853,804,0.5148
kr,CHALLENGER,-,Fzz gege,289,238,0.5484
kr,CHALLENGER,-,BRO Hena,1185,1121,0.5139
kr,CHALLENGER,-,잠만뽀미,280,225,0.5545
kr,CHALLENGER,-,UPzhao641950117,542,447,0.548
kr,CHALLENGER,-,Azhy,577,507,0.5323
kr,CHALLENGER,-,El Matador 7 9,910,839,0.5203
kr,CHALLENGER,-,A2ST,637,593,0.5179
kr,CHALLENGER,-,폭시역군,176,115,0.6048
kr,CHALLENGER,-,요즘솔랭누가하냐,394,325,0.548
kr,CHALLENGER,-,hong he wo de,739,656,0.5297
kr,CHALLENGER,-,DK Kingdom,1206,1143,0.5134
kr,CHALLENGER,-,wndus,549,508,0.5194
kr,CHALLENGER,-,돼지와함께춤을a,626,549,0.5328
kr,CHALLENGER,-,갱붕이,1145,1058,0.5197
kr,CHALLENGER,-,Fisherr,890,854,0.5103
kr,CHALLENGER,-,디알엑스 제트,1253,1173,0.5165
kr,CHALLENGER,-,2005 AD KING,820,747,0.5233
kr,CHALLENGER,-,늪에 빠지다1,763,712,0.5173
kr,CHALLENGER,-,타락파워조이,326,285,0.5336
kr,CHALLENGER,-,길고먼여행지,354,284,0.5549
kr,CHALLENGER,-,데아시두스이어링,518,466,0.5264
kr,CHALLENGER,-,사막낙타,373,319,0.539
kr,CHALLENGER,-,유튜브 엉덩국곰,153,115,0.5709
kr,CHALLENGER,-,502 Error,129,79,0.6202
kr,CHALLENGER,-,BRO Loopy,827,768,0.5185
kr,CHALLENGER,-,날 건들지마날 ,191,146,0.5668
kr,CHALLENGER,-,우제우스,624,536,0.5379
kr,CHALLENGER,-,Epilogue for you,159,104,0.6046
kr,CHALLENGER,-,용호야,267,209,0.5609
kr,CHALLENGER,-,zzzzussss,224,167,0.5729
kr,CHALLENGER,-,Keinee,888,839,0.5142
kr,CHALLENGER,-,문효준,501,445,0.5296
kr,CHALLENGER,-,처음부터다시하다,601,511,0.5405
kr,CHALLENGER,-,woshifeji,973,904,0.5184
kr,CHALLENGER,-,T1 Roach,563,511,0.5242
kr,CHALLENGER,-,나도 행복하자,154,96,0.616
kr,CHALLENGER,-,KT 5kld,398,344,0.5364
kr,CHALLENGER,-,디알엑스 킹겐,707,618,0.5336
kr,CHALLENGER,-,교육잘받은도구,326,271,0.5461
kr,CHALLENGER,-,으라차차으라차차,174,106,0.6214
kr,CHALLENGER,-,쉔과나의연결고리,729,675,0.5192
kr,CHALLENGER,-,원딜은무기력하다,202,155,0.5658
kr,CHALLENGER,-,HLE Bautt,556,506,0.5235
kr,CHALLENGER,-,아프리카 아라드,340,274,0.5537
kr,CHALLENGER,-,Pnpm,248,181,0.5781
kr,CHALLENGER,-,Gen G Khael,460,405,0.5318
kr,CHALLENGER,-,당신은게임을왜함,776,740,0.5119
kr,CHALLENGER,-,Shadow FA 03,143,86,0.6245
kr,CHALLENGER,-,세상이무섭단말야,403,333,0.5476
kr,CHALLENGER,-,unlucky boy1,1124,1057,0.5154
kr,CHALLENGER,-,i Kimchi,118,68,0.6344
kr,CHALLENGER,-,어딘가좀아픈사람,958,906,0.5139
kr,CHALLENGER,-,deokdam,598,530,0.5301
kr,CHALLENGER,-,Youtube heeseong,357,296,0.5467
kr,CHALLENGER,-,BRO Hoya,414,335,0.5527
kr,CHALLENGER,-,FA Decky,958,876,0.5224
kr,CHALLENGER,-,tlvekdlrlrh,699,659,0.5147
kr,CHALLENGER,-,칼과 창 방패,320,250,0.5614
kr,CHALLENGER,-,krole,703,603,0.5383
kr,CHALLENGER,-,양념형,555,486,0.5331
kr,CHALLENGER,-,깨달음을얻은남자,741,653,0.5316
kr,CHALLENGER,-,초보강아지,343,294,0.5385
kr,CHALLENGER,-,D알엑스 표식,227,184,0.5523
kr,CHALLENGER,-,irasu1,434,361,0.5459
kr,CHALLENGER,-,도라시레미도,583,522,0.5276
kr,CHALLENGER,-,JustLikeThatKR,758,691,0.5231
kr,CHALLENGER,-,LSB DDahyuk,915,857,0.5164
kr,CHALLENGER,-,Juhana,1124,1065,0.5135
kr,CHALLENGER,-,Mung,308,226,0.5768
kr,CHALLENGER,-,Purpo지니,392,327,0.5452
kr,CHALLENGER,-,숨지마라 룰루,208,133,0.61
kr,CHALLENGER,-,사랑하지 않아,260,199,0.5664
kr,CHALLENGER,-,스물다섯번째밤,537,473,0.5317
kr,CHALLENGER,-,오뚜기3분미트볼,327,256,0.5609
kr,CHALLENGER,-,강의 듀오 제드팀,592,529,0.5281
kr,CHALLENGER,-,율천고 최현우,364,304,0.5449
kr,CHALLENGER,-,T1 Berserker,483,422,0.5337
kr,CHALLENGER,-,일산전영찬,245,184,0.5711
kr,CHALLENGER,-,Saebyuck,401,349,0.5347
kr,CHALLENGER,-,jusaka1,246,207,0.543
kr,CHALLENGER,-,Youtube Hongcono,259,214,0.5476
kr,CHALLENGER,-,Av0cadoda,783,725,0.5192
kr,CHALLENGER,-,KT Harp,553,479,0.5359
kr,CHALLENGER,-,튀자튀자아,283,231,0.5506
kr,CHALLENGER,-,szygszn,888,816,0.5211
kr,CHALLENGER,-,Tadpole Galaxy,397,338,0.5401
kr,CHALLENGER,-,tnedifnoc syawla,214,140,0.6045
kr,CHALLENGER,-,Sutkressuree,943,895,0.5131
kr,CHALLENGER,-,DWG Muru,808,732,0.5247
kr,CHALLENGER,-,험악한분위기조성,358,263,0.5765
kr,CHALLENGER,-,워 드,419,356,0.5406
kr,CHALLENGER,-,빵 얏,398,338,0.5408
kr,CHALLENGER,-,Shadow Winsome,406,343,0.5421
kr,CHALLENGER,-,빙밍잉,319,273,0.5389
kr,CHALLENGER,-,N0T Angry,529,477,0.5258
kr,CHALLENGER,-,guocuozz,216,163,0.5699
kr,CHALLENGER,-,쭌 베,988,926,0.5162
kr,CHALLENGER,-,Y0UTUBE Axiyo,525,448,0.5396
kr,CHALLENGER,-,kukuking,566,499,0.5315
kr,CHALLENGER,-,heeseong,348,306,0.5321
kr,CHALLENGER,-,shamoluotuo,355,314,0.5306
kr,CHALLENGER,-,물에 젖은 장작,508,458,0.5259
kr,CHALLENGER,-,역시폭군,277,217,0.5607
kr,CHALLENGER,-,almond bon bon,182,111,0.6212
kr,CHALLENGER,-,SnowFlow2r,354,299,0.5421
kr,CHALLENGER,-,lIlIIllIlIIllIlI,235,185,0.5595
kr,CHALLENGER,-,AF BuLLDoG,737,677,0.5212
kr,CHALLENGER,-,06 05 19,591,486,0.5487
kr,CHALLENGER,-,분신컨트롤,268,213,0.5572
kr,CHALLENGER,-,jkjkjkjkk,1284,1222,0.5124
kr,CHALLENGER,-,퀸 세연,128,93,0.5792
kr,CHALLENGER,-,asdasdsdfv,706,637,0.5257
kr,CHALLENGER,-,구글 검색 형규팀,254,215,0.5416
kr,CHALLENGER,-,Zxkkwhy,435,369,0.541
kr,CHALLENGER,-,Honpi,1133,1081,0.5117
kr,CHALLENGER,-,단군의청춘부재,599,546,0.5231
kr,CHALLENGER,-,T1 Ellim,377,308,0.5504
kr,CHALLENGER,-,잠은허송세월,157,101,0.6085
