region,rank,division,summonerName,win,lose,winRatio,DorF
la1,CHALLENGER,-,VírusFx,76,52,0.5938,2
la1,CHALLENGER,-,Hakkou,207,175,0.5419,1
la1,CHALLENGER,-,Falan,151,120,0.5572,2
la1,CHALLENGER,-,Dios Escanor,341,299,0.5328,1
la1,CHALLENGER,-,Nightwolf9,241,220,0.5228,2
la1,CHALLENGER,-,ina and ani,190,137,0.581,1
la1,CHALLENGER,-,Ichiro Suzuki,238,219,0.5208,1
la1,CHALLENGER,-,Maria Marie,141,113,0.5551,1
la1,CHALLENGER,-,Gøn Zøldÿck,578,549,0.5129,1
la1,CHALLENGER,-,Nazeebo,207,168,0.552,2
la1,CHALLENGER,-,WL Redsaturn,415,356,0.5383,2
la1,CHALLENGER,-,S4dB0y,173,147,0.5406,2
la1,CHALLENGER,-,I00 gecs,160,108,0.597,1
la1,CHALLENGER,-,iguanin,392,360,0.5213,1
la1,CHALLENGER,-,Sinfonías,138,101,0.5774,2
la1,CHALLENGER,-,TwichTv Suntaric,317,266,0.5437,2
la1,CHALLENGER,-,Hetairo,176,149,0.5415,2
la1,CHALLENGER,-,Sun Tiger,178,154,0.5361,2
la1,CHALLENGER,-,Squancho,177,144,0.5514,2
la1,CHALLENGER,-,Godsi,214,173,0.553,1
la1,CHALLENGER,-,Diane Amz,203,170,0.5442,2
la1,CHALLENGER,-,JarnJezuze,288,231,0.5549,2
la1,CHALLENGER,-,De Abreu,232,208,0.5273,2
la1,CHALLENGER,-,Greedy dog,269,220,0.5501,0
la1,CHALLENGER,-,UC llSkyll,132,111,0.5432,2
la1,CHALLENGER,-,Kofla,192,160,0.5455,2
la1,CHALLENGER,-,KiluaHaruno,323,289,0.5278,2
la1,CHALLENGER,-,rubenxswrd,142,101,0.5844,1
la1,CHALLENGER,-,Cheryl,496,464,0.5167,2
la1,CHALLENGER,-,Kanye Omari West,296,244,0.5481,1
la1,CHALLENGER,-,IlGatolI,367,277,0.5699,2
la1,CHALLENGER,-,VaIeria,162,106,0.6045,2
la1,CHALLENGER,-,Yuuna,163,127,0.5621,2
la1,CHALLENGER,-,PK Eduardupulus,326,255,0.5611,1
la1,CHALLENGER,-,Thresh Maker,445,420,0.5145,2
la1,CHALLENGER,-,TwitchTvDragosKS,160,136,0.5405,2
la1,CHALLENGER,-,ElCerdoEnojado,489,429,0.5327,1
la1,CHALLENGER,-,mylo,201,171,0.5403,1
la1,CHALLENGER,-,Egzod,359,314,0.5334,2
la1,CHALLENGER,-,Losetrade,187,149,0.5565,0
la1,CHALLENGER,-,Twitchtv Nishkyu,227,195,0.5379,2
la1,CHALLENGER,-,Fallen IV,660,622,0.5148,1
la1,CHALLENGER,-,Crawl,327,288,0.5317,0
la1,CHALLENGER,-,AWK ł ł ł,238,202,0.5409,0
la1,CHALLENGER,-,Blakzx,152,133,0.5333,1
la1,CHALLENGER,-,Ashcrow,392,364,0.5185,2
la1,CHALLENGER,-,disgusted,224,185,0.5477,3
la1,CHALLENGER,-,Linksuo,169,135,0.5559,1
la1,CHALLENGER,-,Sevën,191,160,0.5442,2
la1,CHALLENGER,-,Sbortax,352,328,0.5176,2
la1,CHALLENGER,-,Olaf,178,142,0.5563,2
la1,CHALLENGER,-,Amed,166,142,0.539,2
la1,CHALLENGER,-,Bow,116,61,0.6554,2
la1,CHALLENGER,-, God exists,307,250,0.5512,2
la1,CHALLENGER,-,NiêR,345,293,0.5408,1
la1,CHALLENGER,-,htcbest,106,59,0.6424,2
la1,CHALLENGER,-,Sajoth,157,92,0.6305,2
la1,CHALLENGER,-,NRE Minalup,406,368,0.5245,1
la1,CHALLENGER,-,SinapsisCRC,147,114,0.5632,2
la1,CHALLENGER,-,Joker Was Here,279,248,0.5294,1
la1,CHALLENGER,-,Talented,191,140,0.577,2
la1,CHALLENGER,-,Pichu,219,192,0.5328,2
la1,CHALLENGER,-,ayodneS,294,280,0.5122,2
la1,CHALLENGER,-,C A N V A SS,847,776,0.5219,1
la1,CHALLENGER,-,Imperial Japan,233,208,0.5283,1
la1,CHALLENGER,-,Reyarteb,75,45,0.625,0
la1,CHALLENGER,-,Jesús te amó,226,166,0.5765,2
la1,CHALLENGER,-,Reinerr Braun,121,89,0.5762,1
la1,CHALLENGER,-,Topunknow,167,119,0.5839,2
la1,CHALLENGER,-,Amami,295,255,0.5364,1
la1,CHALLENGER,-,ƒëär,202,168,0.5459,0
la1,CHALLENGER,-,Orgasm Producer,250,193,0.5643,2
la1,CHALLENGER,-,NoisyB,193,149,0.5643,2
la1,CHALLENGER,-,Bry Grosero,201,176,0.5332,0
