region,rank,division,summonerName,win,lose,winRatio,DorF
la2,CHALLENGER,-,Dıego,479,428,0.5281,1
la2,CHALLENGER,-,wikil,320,261,0.5508,2
la2,CHALLENGER,-,d mi novia NO AG,288,247,0.5383,2
la2,CHALLENGER,-,AKA Aleksis007,316,276,0.5338,1
la2,CHALLENGER,-,Defy Chikito,539,478,0.53,0
la2,CHALLENGER,-,1Haru,147,136,0.5194,0
la2,CHALLENGER,-,NOSUBONICONMERCA,179,120,0.5987,2
la2,CHALLENGER,-,EL B0LIVIANO,272,221,0.5517,2
la2,CHALLENGER,-,LZ3R0,320,284,0.5298,1
la2,CHALLENGER,-,Mirato,273,230,0.5427,1
la2,CHALLENGER,-,DangoBiceps,246,201,0.5503,2
la2,CHALLENGER,-,Sufukato,283,239,0.5421,1
la2,CHALLENGER,-,Vïper,176,153,0.535,2
la2,CHALLENGER,-,Hachi,583,518,0.5295,2
la2,CHALLENGER,-,ad mentality,238,215,0.5254,2
la2,CHALLENGER,-,Pnlucky Ulayer,234,205,0.533,1
la2,CHALLENGER,-,PablitoEmbarazao,207,141,0.5948,2
la2,CHALLENGER,-,Abąddón,417,350,0.5437,2
la2,CHALLENGER,-,odio a los trans,290,261,0.5263,0
la2,CHALLENGER,-,g3tH,362,313,0.5363,2
la2,CHALLENGER,-,FFT01SSDSAW08,251,234,0.5175,1
la2,CHALLENGER,-,Allüka Zoldyck,341,319,0.5167,0
la2,CHALLENGER,-,MrStigmä,322,271,0.543,1
la2,CHALLENGER,-,Dlifo,490,475,0.5078,1
la2,CHALLENGER,-,ultradistinto,257,235,0.5224,1
la2,CHALLENGER,-,Exte,170,130,0.5667,2
la2,CHALLENGER,-,Over,244,212,0.5351,2
la2,CHALLENGER,-,ICrazzy     Ekko,260,219,0.5428,1
la2,CHALLENGER,-,Lucovich,231,206,0.5286,2
la2,CHALLENGER,-,el vato FEMBOYxD,245,206,0.5432,0
la2,CHALLENGER,-,Why Worry,54,25,0.6835,1
la2,CHALLENGER,-,TrudGon,166,109,0.6036,2
la2,CHALLENGER,-,Funny Monkey,187,126,0.5974,1
la2,CHALLENGER,-,ValHälen,428,401,0.5163,1
la2,CHALLENGER,-,Rainight,253,231,0.5227,2
la2,CHALLENGER,-,sweethearted boy,268,254,0.5134,2
la2,CHALLENGER,-,Calíope,372,334,0.5269,2
la2,CHALLENGER,-,TheGuárd,94,65,0.5912,2
la2,CHALLENGER,-,FNC Upsét,328,275,0.5439,0
la2,CHALLENGER,-,TLS Franquito,168,132,0.56,2
la2,CHALLENGER,-,Zheyss,382,336,0.532,2
la2,CHALLENGER,-,Fleyro,237,210,0.5302,2
la2,CHALLENGER,-,FT Lord,790,752,0.5123,2
la2,CHALLENGER,-,Virus04,234,213,0.5235,2
la2,CHALLENGER,-,11 07 139ƒ,178,129,0.5798,2
la2,CHALLENGER,-,Hªnk,438,401,0.5221,2
la2,CHALLENGER,-,Morwinela,118,84,0.5842,2
la2,CHALLENGER,-,bbq,313,237,0.5691,2
la2,CHALLENGER,-,BAYACHAO,285,245,0.5377,2
la2,CHALLENGER,-,Selfharm,355,306,0.5371,2
la2,CHALLENGER,-,ByTobi,261,237,0.5241,1
la2,CHALLENGER,-,Kinh,116,110,0.5133,2
la2,CHALLENGER,-,Little MoonIight,202,188,0.5179,0
la2,CHALLENGER,-,Ezequielardo,298,256,0.5379,2
la2,CHALLENGER,-,Orbis,290,260,0.5273,2
la2,CHALLENGER,-,Dificult,229,203,0.5301,2
la2,CHALLENGER,-,Fμlgorę,681,672,0.5033,1
la2,CHALLENGER,-,Seba chan,266,232,0.5341,1
la2,CHALLENGER,-,alfa9delta,136,97,0.5837,1
la2,CHALLENGER,-,Rick SánchezC137,310,259,0.5448,0
la2,CHALLENGER,-,Niñera de Hachi,198,170,0.538,0
la2,CHALLENGER,-,Karol Dance,652,639,0.505,2
la2,CHALLENGER,-,KAYNSERBERO,360,291,0.553,1
la2,CHALLENGER,-,Mad Aspect,171,156,0.5229,2
la2,CHALLENGER,-,Lud,900,850,0.5143,2
la2,CHALLENGER,-,Llaveee,293,242,0.5477,2
la2,CHALLENGER,-,Mitsheep,251,210,0.5445,2
la2,CHALLENGER,-,sOwí,309,291,0.515,2
la2,CHALLENGER,-,Deftsu,366,325,0.5297,2
la2,CHALLENGER,-,GitoFoxc,346,304,0.5323,2
la2,CHALLENGER,-,Hitsu,203,185,0.5232,2
la2,CHALLENGER,-,Prada,235,186,0.5582,1
la2,CHALLENGER,-,fate sealed,249,221,0.5298,2
la2,CHALLENGER,-,Rompeohmios,227,182,0.555,1
la2,CHALLENGER,-,DySuoMaru,219,190,0.5355,0
la2,CHALLENGER,-,Return,203,162,0.5562,1
