region,rank,division,summonerName,win,lose,winRatio,DorF
ru,CHALLENGER,-,DianaMid21,360,312,0.5357,1
ru,CHALLENGER,-,Scripter,85,42,0.6693,0
ru,CHALLENGER,-,MåÐKïñg,152,129,0.5409,2
ru,CHALLENGER,-,OboyaShka,249,228,0.522,1
ru,CHALLENGER,-,Àbyšš,523,490,0.5163,2
ru,CHALLENGER,-,rosaria,184,163,0.5303,2
ru,CHALLENGER,-,Ufa Uchaly 102,276,221,0.5553,2
ru,CHALLENGER,-,Nevermorê,650,593,0.5229,0
ru,CHALLENGER,-,ZerooBat,216,188,0.5347,1
ru,CHALLENGER,-,BeŠHENstvo,140,116,0.5469,2
ru,CHALLENGER,-,SlyBeauty,112,88,0.56,2
ru,CHALLENGER,-,KawaiiEvil,269,254,0.5143,2
ru,CHALLENGER,-,  Ice Prince,104,85,0.5503,1
ru,CHALLENGER,-,Play to improve,89,85,0.5115,2
ru,CHALLENGER,-,D4UrodkaNaYuumi,82,54,0.6029,2
ru,CHALLENGER,-,starshopping1,89,72,0.5528,2
ru,CHALLENGER,-,aching joints,172,113,0.6035,2
ru,CHALLENGER,-,Zabodashka,607,567,0.517,0
ru,CHALLENGER,-,LCS Ðupliënce,162,134,0.5473,1
ru,CHALLENGER,-,Gelraen,237,230,0.5075,1
ru,CHALLENGER,-,wallinside,131,86,0.6037,2
ru,CHALLENGER,-,Kerguelen,74,57,0.5649,0
ru,CHALLENGER,-,Оленёнoк Бэмби,160,123,0.5654,1
ru,CHALLENGER,-,Gulmonika,292,259,0.5299,2
ru,CHALLENGER,-,Romest,102,67,0.6036,2
ru,CHALLENGER,-,Tiria,101,50,0.6689,0
ru,CHALLENGER,-,Eduardom799,213,123,0.6339,0
ru,CHALLENGER,-,жри лп тварь,98,57,0.6323,2
ru,CHALLENGER,-,MaksimSoSo,235,165,0.5875,2
ru,CHALLENGER,-,Filipov321PL,150,98,0.6048,2
ru,CHALLENGER,-,Sõrâ,106,52,0.6709,2
ru,CHALLENGER,-,Híde on bush,224,154,0.5926,2
ru,CHALLENGER,-,Pirozhenec,102,66,0.6071,1
ru,CHALLENGER,-,BMPX,526,473,0.5265,2
ru,CHALLENGER,-,EUW SHACO PLAYER,63,34,0.6495,2
ru,CHALLENGER,-,Nytel,360,321,0.5286,0
ru,CHALLENGER,-,Ego is the death,194,142,0.5774,0
ru,CHALLENGER,-,FreeDestord,80,49,0.6202,1
ru,CHALLENGER,-,MrPluse,139,96,0.5915,2
ru,CHALLENGER,-,ObaN TheDarkneSS,215,175,0.5513,2
ru,CHALLENGER,-,ST FaTHeR,544,479,0.5318,1
ru,CHALLENGER,-,R1cc1 Boy,188,170,0.5251,2
ru,CHALLENGER,-,Талант из LEC,227,182,0.555,1
ru,CHALLENGER,-,HasaYone,147,118,0.5547,0
ru,CHALLENGER,-,artishpalk,176,156,0.5301,1
ru,CHALLENGER,-,Fliomаg,177,152,0.538,2
ru,CHALLENGER,-,DianaMid21,360,312,0.5357,1
ru,CHALLENGER,-,Scripter,85,42,0.6693,0
ru,CHALLENGER,-,MåÐKïñg,152,129,0.5409,2
ru,CHALLENGER,-,OboyaShka,249,228,0.522,1
ru,CHALLENGER,-,Àbyšš,523,490,0.5163,2
ru,CHALLENGER,-,rosaria,184,163,0.5303,2
ru,CHALLENGER,-,Ufa Uchaly 102,276,221,0.5553,2
ru,CHALLENGER,-,Nevermorê,650,593,0.5229,0
ru,CHALLENGER,-,ZerooBat,216,188,0.5347,1
ru,CHALLENGER,-,BeŠHENstvo,140,116,0.5469,2
ru,CHALLENGER,-,SlyBeauty,112,88,0.56,2
ru,CHALLENGER,-,KawaiiEvil,269,254,0.5143,2
ru,CHALLENGER,-,  Ice Prince,104,85,0.5503,1
ru,CHALLENGER,-,Play to improve,89,85,0.5115,2
ru,CHALLENGER,-,D4UrodkaNaYuumi,82,54,0.6029,2
ru,CHALLENGER,-,starshopping1,89,72,0.5528,2
ru,CHALLENGER,-,aching joints,172,113,0.6035,2
ru,CHALLENGER,-,Zabodashka,607,567,0.517,0
ru,CHALLENGER,-,LCS Ðupliënce,162,134,0.5473,1
ru,CHALLENGER,-,Gelraen,237,230,0.5075,1
ru,CHALLENGER,-,wallinside,131,86,0.6037,2
ru,CHALLENGER,-,Kerguelen,74,57,0.5649,0
ru,CHALLENGER,-,Оленёнoк Бэмби,160,123,0.5654,1
ru,CHALLENGER,-,Gulmonika,292,259,0.5299,2
ru,CHALLENGER,-,Romest,102,67,0.6036,2
ru,CHALLENGER,-,Tiria,101,50,0.6689,0
ru,CHALLENGER,-,Eduardom799,213,123,0.6339,0
ru,CHALLENGER,-,жри лп тварь,98,57,0.6323,2
ru,CHALLENGER,-,MaksimSoSo,235,165,0.5875,2
ru,CHALLENGER,-,Filipov321PL,150,98,0.6048,2
ru,CHALLENGER,-,Sõrâ,106,52,0.6709,2
ru,CHALLENGER,-,Híde on bush,224,154,0.5926,2
ru,CHALLENGER,-,Pirozhenec,102,66,0.6071,1
ru,CHALLENGER,-,BMPX,526,473,0.5265,2
ru,CHALLENGER,-,EUW SHACO PLAYER,63,34,0.6495,2
ru,CHALLENGER,-,Nytel,360,321,0.5286,0
ru,CHALLENGER,-,Ego is the death,194,142,0.5774,0
ru,CHALLENGER,-,FreeDestord,80,49,0.6202,1
ru,CHALLENGER,-,MrPluse,139,96,0.5915,2
ru,CHALLENGER,-,ObaN TheDarkneSS,215,175,0.5513,2
ru,CHALLENGER,-,ST FaTHeR,544,479,0.5318,1
ru,CHALLENGER,-,R1cc1 Boy,188,170,0.5251,2
ru,CHALLENGER,-,Талант из LEC,227,182,0.555,1
ru,CHALLENGER,-,HasaYone,147,118,0.5547,0
ru,CHALLENGER,-,artishpalk,176,156,0.5301,1
ru,CHALLENGER,-,Fliomаg,177,152,0.538,2
ru,CHALLENGER,-,Zabodashka,607,567,0.517,0
ru,CHALLENGER,-,Filipov321PL,150,98,0.6048,2
ru,CHALLENGER,-,Ego is the death,194,142,0.5774,0
ru,CHALLENGER,-,Оленёнoк Бэмби,160,123,0.5654,1
ru,CHALLENGER,-,Gelraen,237,230,0.5075,1
ru,CHALLENGER,-,KawaiiEvil,269,254,0.5143,2
ru,CHALLENGER,-,Play to improve,89,85,0.5115,2
ru,CHALLENGER,-,starshopping1,89,72,0.5528,2
ru,CHALLENGER,-,Nytel,360,321,0.5286,0
ru,CHALLENGER,-,  Ice Prince,104,85,0.5503,1
ru,CHALLENGER,-,D4UrodkaNaYuumi,82,54,0.6029,2
ru,CHALLENGER,-,Tiria,101,50,0.6689,0
ru,CHALLENGER,-,BMPX,526,473,0.5265,2
ru,CHALLENGER,-,Fliomаg,177,152,0.538,2
ru,CHALLENGER,-,Талант из LEC,227,182,0.555,1
ru,CHALLENGER,-,LCS Ðupliënce,162,134,0.5473,1
ru,CHALLENGER,-,wallinside,131,86,0.6037,2
ru,CHALLENGER,-,Àbyšš,523,490,0.5163,2
ru,CHALLENGER,-,ST FaTHeR,544,479,0.5318,1
ru,CHALLENGER,-,Romest,102,67,0.6036,2
ru,CHALLENGER,-,FreeDestord,80,49,0.6202,1
ru,CHALLENGER,-,BeŠHENstvo,140,116,0.5469,2
ru,CHALLENGER,-,ZerooBat,216,188,0.5347,1
ru,CHALLENGER,-,Pirozhenec,102,66,0.6071,1
ru,CHALLENGER,-,жри лп тварь,98,57,0.6323,2
ru,CHALLENGER,-,OboyaShka,249,228,0.522,1
ru,CHALLENGER,-,aching joints,172,113,0.6035,2
ru,CHALLENGER,-,Nevermorê,650,593,0.5229,0
ru,CHALLENGER,-,R1cc1 Boy,188,170,0.5251,2
ru,CHALLENGER,-,EUW SHACO PLAYER,63,34,0.6495,2
ru,CHALLENGER,-,Ufa Uchaly 102,276,221,0.5553,2
ru,CHALLENGER,-,HasaYone,147,118,0.5547,0
ru,CHALLENGER,-,Kerguelen,74,57,0.5649,0
ru,CHALLENGER,-,Scripter,85,42,0.6693,0
ru,CHALLENGER,-,MrPluse,139,96,0.5915,2
ru,CHALLENGER,-,artishpalk,176,156,0.5301,1
ru,CHALLENGER,-,rosaria,184,163,0.5303,2
ru,CHALLENGER,-,ObaN TheDarkneSS,215,175,0.5513,2
ru,CHALLENGER,-,Gulmonika,292,259,0.5299,2
ru,CHALLENGER,-,MåÐKïñg,152,129,0.5409,2
ru,CHALLENGER,-,Sõrâ,106,52,0.6709,2
ru,CHALLENGER,-,Híde on bush,224,154,0.5926,2
ru,CHALLENGER,-,DianaMid21,360,312,0.5357,1
ru,CHALLENGER,-,SlyBeauty,112,88,0.56,2
ru,CHALLENGER,-,MaksimSoSo,235,165,0.5875,2
ru,CHALLENGER,-,Eduardom799,213,123,0.6339,0
ru,CHALLENGER,-,Zabodashka,607,567,0.517,0
ru,CHALLENGER,-,Filipov321PL,150,98,0.6048,2
ru,CHALLENGER,-,Ego is the death,194,142,0.5774,0
ru,CHALLENGER,-,Оленёнoк Бэмби,160,123,0.5654,1
ru,CHALLENGER,-,Gelraen,237,230,0.5075,1
ru,CHALLENGER,-,KawaiiEvil,269,254,0.5143,2
ru,CHALLENGER,-,Play to improve,89,85,0.5115,2
ru,CHALLENGER,-,starshopping1,89,72,0.5528,2
ru,CHALLENGER,-,Nytel,360,321,0.5286,0
ru,CHALLENGER,-,  Ice Prince,104,85,0.5503,1
ru,CHALLENGER,-,D4UrodkaNaYuumi,82,54,0.6029,2
ru,CHALLENGER,-,Tiria,101,50,0.6689,0
ru,CHALLENGER,-,BMPX,526,473,0.5265,2
ru,CHALLENGER,-,Fliomаg,177,152,0.538,2
ru,CHALLENGER,-,Талант из LEC,227,182,0.555,1
ru,CHALLENGER,-,LCS Ðupliënce,162,134,0.5473,1
ru,CHALLENGER,-,wallinside,131,86,0.6037,2
ru,CHALLENGER,-,Àbyšš,523,490,0.5163,2
ru,CHALLENGER,-,ST FaTHeR,544,479,0.5318,1
ru,CHALLENGER,-,Romest,102,67,0.6036,2
ru,CHALLENGER,-,FreeDestord,80,49,0.6202,1
ru,CHALLENGER,-,BeŠHENstvo,140,116,0.5469,2
ru,CHALLENGER,-,ZerooBat,216,188,0.5347,1
ru,CHALLENGER,-,Pirozhenec,102,66,0.6071,1
ru,CHALLENGER,-,жри лп тварь,98,57,0.6323,2
ru,CHALLENGER,-,OboyaShka,249,228,0.522,1
ru,CHALLENGER,-,aching joints,172,113,0.6035,2
ru,CHALLENGER,-,Nevermorê,650,593,0.5229,0
ru,CHALLENGER,-,R1cc1 Boy,188,170,0.5251,2
ru,CHALLENGER,-,EUW SHACO PLAYER,63,34,0.6495,2
ru,CHALLENGER,-,Ufa Uchaly 102,276,221,0.5553,2
ru,CHALLENGER,-,HasaYone,147,118,0.5547,0
ru,CHALLENGER,-,Kerguelen,74,57,0.5649,0
ru,CHALLENGER,-,Scripter,85,42,0.6693,0
ru,CHALLENGER,-,MrPluse,139,96,0.5915,2
ru,CHALLENGER,-,artishpalk,176,156,0.5301,1
ru,CHALLENGER,-,rosaria,184,163,0.5303,2
ru,CHALLENGER,-,ObaN TheDarkneSS,215,175,0.5513,2
ru,CHALLENGER,-,Gulmonika,292,259,0.5299,2
ru,CHALLENGER,-,MåÐKïñg,152,129,0.5409,2
ru,CHALLENGER,-,Sõrâ,106,52,0.6709,2
ru,CHALLENGER,-,Híde on bush,224,154,0.5926,2
ru,CHALLENGER,-,DianaMid21,360,312,0.5357,1
ru,CHALLENGER,-,SlyBeauty,112,88,0.56,2
ru,CHALLENGER,-,MaksimSoSo,235,165,0.5875,2
ru,CHALLENGER,-,Eduardom799,213,123,0.6339,0
ru,CHALLENGER,-,Zabodashka,607,567,0.517,0
ru,CHALLENGER,-,Filipov321PL,150,98,0.6048,2
ru,CHALLENGER,-,Ego is the death,194,142,0.5774,0
ru,CHALLENGER,-,Оленёнoк Бэмби,160,123,0.5654,1
ru,CHALLENGER,-,Gelraen,237,230,0.5075,1
ru,CHALLENGER,-,KawaiiEvil,269,254,0.5143,2
ru,CHALLENGER,-,Play to improve,89,85,0.5115,2
ru,CHALLENGER,-,starshopping1,89,72,0.5528,2
ru,CHALLENGER,-,Nytel,360,321,0.5286,0
ru,CHALLENGER,-,  Ice Prince,104,85,0.5503,1
ru,CHALLENGER,-,D4UrodkaNaYuumi,82,54,0.6029,2
ru,CHALLENGER,-,Tiria,101,50,0.6689,0
ru,CHALLENGER,-,BMPX,526,473,0.5265,2
ru,CHALLENGER,-,Fliomаg,177,152,0.538,2
ru,CHALLENGER,-,Талант из LEC,227,182,0.555,1
ru,CHALLENGER,-,LCS Ðupliënce,162,134,0.5473,1
ru,GRANDMASTER,-,Fizz2Chall,203,153,0.5702,0
ru,GRANDMASTER,-,Himeera,78,64,0.5493,2
ru,GRANDMASTER,-,zhangyuxiaowanzi,228,158,0.5907,1
ru,GRANDMASTER,-,МяуМяуВсемПривяу,164,129,0.5597,1
ru,GRANDMASTER,-,Kapa42,339,302,0.5289,1
ru,GRANDMASTER,-,MrGraek,280,251,0.5273,2
ru,GRANDMASTER,-,ESHKEREEEEEEEEEE,220,198,0.5263,2
ru,GRANDMASTER,-,Аirobloodin,258,238,0.5202,2
ru,GRANDMASTER,-,СВЕКЛОВИЧНЫЙ ЖОМ,214,190,0.5297,1
ru,GRANDMASTER,-,KrasEg,164,126,0.5655,2
ru,GRANDMASTER,-,15 12 17,514,494,0.5099,2
ru,GRANDMASTER,-,Kenny Toss,127,96,0.5695,0
ru,GRANDMASTER,-,red oceán,86,56,0.6056,1
ru,GRANDMASTER,-,Metalonot,210,190,0.525,2
ru,GRANDMASTER,-,R1fo,145,117,0.5534,1
ru,GRANDMASTER,-,sapph1re,152,134,0.5315,2
ru,GRANDMASTER,-,Sênbônzâkurâ,356,352,0.5028,0
ru,GRANDMASTER,-,Treyz,163,109,0.5993,1
ru,GRANDMASTER,-,43152,102,101,0.5025,1
ru,GRANDMASTER,-,BigMuffin3,241,200,0.5465,2
ru,GRANDMASTER,-,Exeria,259,220,0.5407,2
ru,GRANDMASTER,-,Не хочу в армию,135,92,0.5947,2
ru,GRANDMASTER,-,Cornucopia,80,61,0.5674,2
ru,GRANDMASTER,-,TTV HTMimp,138,126,0.5227,1
ru,GRANDMASTER,-,Реасе Dose ,62,64,0.4921,2
ru,GRANDMASTER,-,TripleASS Ghoul,747,701,0.5159,1
ru,GRANDMASTER,-,Awilo,101,74,0.5771,1
ru,GRANDMASTER,-,Astrolog Fedor,492,454,0.5201,2
ru,GRANDMASTER,-,burden boy,169,140,0.5469,1
ru,GRANDMASTER,-,Skaði,230,231,0.4989,2
ru,GRANDMASTER,-,elo monster,92,60,0.6053,2
ru,GRANDMASTER,-,Draven i balanse,152,104,0.5938,2
ru,GRANDMASTER,-,dаewoo matiz,239,225,0.5151,0
ru,GRANDMASTER,-,Skizzplz,114,95,0.5455,1
ru,GRANDMASTER,-,Kill,37,33,0.5286,2
ru,GRANDMASTER,-,1711,177,170,0.5101,2
ru,GRANDMASTER,-,BlinovskyReborn,1093,1058,0.5081,1
ru,GRANDMASTER,-,suzy43,60,45,0.5714,2
ru,GRANDMASTER,-,Khtari Minnesota,346,301,0.5348,2
ru,GRANDMASTER,-,SnJake,234,223,0.512,2
ru,GRANDMASTER,-,OTP kata ,290,250,0.537,2
ru,GRANDMASTER,-,Fisik,358,329,0.5211,2
ru,GRANDMASTER,-,Fairon,257,190,0.5749,2
ru,GRANDMASTER,-,fight at crab,62,40,0.6078,2
ru,GRANDMASTER,-,Smerelk,436,402,0.5203,2
ru,GRANDMASTER,-,Black Agate,129,106,0.5489,1
ru,GRANDMASTER,-,yurameister,167,134,0.5548,2
