region,rank,division,summonerName,win,lose,winRatio
eun1,DIAMOND,IV,Feeding Urf,433,408,0.5148632580261593
eun1,DIAMOND,IV,Riot Arwyll,64,54,0.5423728813559322
eun1,DIAMOND,IV,Pantouf,166,129,0.5627118644067797
eun1,DIAMOND,IV,DOYOUKNOWHEREGON,54,41,0.5684210526315789
eun1,DIAMOND,IV,lichoniespi,454,435,0.5106861642294713
eun1,DIAMOND,IV,Wedzel,90,92,0.4945054945054945
eun1,DIAMOND,IV,Do0mburger,28,26,0.5185185185185185
eun1,DIAMOND,IV,Rygart,201,207,0.49264705882352944
eun1,DIAMOND,IV,XAXA TI LEW,106,150,0.4140625
eun1,DIAMOND,IV,Blaze,190,159,0.5444126074498568
eun1,DIAMOND,IV,Kosa Lajos,192,203,0.4860759493670886
eun1,DIAMOND,IV,MontyPython,125,144,0.4646840148698885
eun1,DIAMOND,IV,Black Lotús,284,249,0.5328330206378987
eun1,DIAMOND,IV,Excesse,89,98,0.47593582887700536
eun1,DIAMOND,IV,Primal Udyr,121,119,0.5041666666666667
eun1,DIAMOND,IV,Samian Dratniuk,281,247,0.5321969696969697
eun1,DIAMOND,IV,Kisüke Urahara,226,222,0.5044642857142857
eun1,DIAMOND,IV,TURBO PINDOL,29,32,0.47540983606557374
eun1,DIAMOND,IV,Sogo,254,248,0.5059760956175299
eun1,DIAMOND,IV,iZi Grozzerr,146,157,0.48184818481848185
eun1,DIAMOND,IV,Just Tiránek,42,31,0.5753424657534246
eun1,DIAMOND,IV,Felhedris,64,89,0.41830065359477125
eun1,DIAMOND,IV,daviscze,221,198,0.5274463007159904
eun1,DIAMOND,IV,Elvon,235,218,0.5187637969094923
eun1,DIAMOND,IV,Xirevert,57,55,0.5089285714285714
eun1,DIAMOND,IV,Ale Go Wybuchl,101,101,0.5
eun1,DIAMOND,IV,Dominicanos,303,295,0.5066889632107023
eun1,DIAMOND,IV,knightemplar,120,102,0.5405405405405406
eun1,DIAMOND,IV,papi chan,15,12,0.5555555555555556
eun1,DIAMOND,IV,yAhPk4dPat,160,152,0.5128205128205128
eun1,DIAMOND,IV,Warlock Gozk,290,276,0.5123674911660777
eun1,DIAMOND,IV,Kapor,50,40,0.5555555555555556
eun1,DIAMOND,IV,Kotz,144,156,0.48
eun1,DIAMOND,IV,Kawaiii Soraka,15,16,0.4838709677419355
