region,rank,division,summonerName,win,lose,winRatio
eun1,DIAMOND,IV,Feeding Urf,433,408,0.5149
eun1,DIAMOND,IV,Riot Arwyll,64,54,0.5424
eun1,DIAMOND,IV,Pantouf,166,129,0.5627
eun1,DIAMOND,IV,DOYOUKNOWHEREGON,54,41,0.5684
eun1,DIAMOND,IV,lichoniespi,454,435,0.5107
eun1,DIAMOND,IV,Wedzel,90,92,0.4945
eun1,DIAMOND,IV,Do0mburger,28,26,0.5185
eun1,DIAMOND,IV,Rygart,201,207,0.4926
eun1,DIAMOND,IV,XAXA TI LEW,106,150,0.4141
eun1,DIAMOND,IV,Blaze,190,159,0.5444
eun1,DIAMOND,IV,Kosa Lajos,192,203,0.4861
eun1,DIAMOND,IV,MontyPython,125,144,0.4647
eun1,DIAMOND,IV,Black Lotús,284,249,0.5328
eun1,DIAMOND,IV,Excesse,89,98,0.4759
eun1,DIAMOND,IV,Primal Udyr,121,119,0.5042
eun1,DIAMOND,IV,Samian Dratniuk,281,247,0.5322
eun1,DIAMOND,IV,Kisüke Urahara,226,222,0.5045
eun1,DIAMOND,IV,TURBO PINDOL,29,32,0.4754
eun1,DIAMOND,IV,Sogo,254,248,0.506
eun1,DIAMOND,IV,iZi Grozzerr,146,157,0.4818
eun1,DIAMOND,IV,Just Tiránek,42,31,0.5753
eun1,DIAMOND,IV,Felhedris,64,89,0.4183
eun1,DIAMOND,IV,daviscze,221,198,0.5274
eun1,DIAMOND,IV,Elvon,235,218,0.5188
eun1,DIAMOND,IV,Xirevert,57,55,0.5089
eun1,DIAMOND,IV,Ale Go Wybuchl,101,101,0.5
eun1,DIAMOND,IV,Dominicanos,303,295,0.5067
eun1,DIAMOND,IV,knightemplar,120,102,0.5405
eun1,DIAMOND,IV,papi chan,15,12,0.5556
eun1,DIAMOND,IV,yAhPk4dPat,160,152,0.5128
eun1,DIAMOND,IV,Warlock Gozk,290,276,0.5124
eun1,DIAMOND,IV,Kapor,50,40,0.5556
eun1,DIAMOND,IV,Kotz,144,156,0.48
eun1,DIAMOND,IV,Kawaiii Soraka,15,16,0.4839
eun1,DIAMOND,IV,Mr Terr0R,94,30,0.7581
eun1,DIAMOND,IV,PawLLD,65,55,0.5417
eun1,DIAMOND,IV,Stylebenderx,130,105,0.5532
eun1,DIAMOND,IV,sQouL,613,614,0.4996
eun1,DIAMOND,IV,KRS Ryox,57,23,0.7125
eun1,DIAMOND,IV,Nassir,10,7,0.5882
eun1,DIAMOND,IV,OskareQqq,249,250,0.499
eun1,DIAMOND,IV,BETΤER JG WINS,358,327,0.5226
eun1,DIAMOND,IV,pr0gres,103,90,0.5337
eun1,DIAMOND,IV,Tatami,234,206,0.5318
eun1,DIAMOND,IV,Arvi Hendrix,83,90,0.4798
eun1,DIAMOND,IV,Akisxa,43,54,0.4433
eun1,DIAMOND,IV,LegendHardy,121,113,0.5171
eun1,DIAMOND,IV,Spl1ff,169,132,0.5615
eun1,DIAMOND,IV,SirRoyal,514,466,0.5245
eun1,DIAMOND,IV,ko0n,73,52,0.584
eun1,DIAMOND,IV,Mousamentor,100,89,0.5291
eun1,DIAMOND,IV,Esk,58,53,0.5225
eun1,DIAMOND,IV,Kapsztajnooo,56,51,0.5234
eun1,DIAMOND,IV,raxen,96,79,0.5486
eun1,DIAMOND,IV,Quiler,204,191,0.5165
eun1,DIAMOND,IV,ReFuNd MíLa,232,220,0.5133
eun1,DIAMOND,IV,Shangxin,429,446,0.4903
eun1,DIAMOND,IV,Methamphetamine,155,139,0.5272
eun1,DIAMOND,IV,Dr Zadymiarz,219,160,0.5778
eun1,DIAMOND,IV,Hi Im Critsinho,199,178,0.5279
eun1,DIAMOND,IV,DirsPvvnz,76,76,0.5
eun1,DIAMOND,IV,Astranor,50,41,0.5495
eun1,DIAMOND,IV,Zapray,126,86,0.5943
eun1,DIAMOND,IV,Mysticc,184,202,0.4767
eun1,DIAMOND,IV,Ts1ric,51,52,0.4951
eun1,DIAMOND,IV,lolek21,302,266,0.5317
eun1,DIAMOND,IV,bennibesti,308,258,0.5442
eun1,DIAMOND,IV,Alaryk,328,307,0.5165
eun1,DIAMOND,IV,Marzaya,21,17,0.5526
eun1,DIAMOND,IV,Beäüty in life,110,129,0.4603
eun1,DIAMOND,IV,Frost Guy,120,122,0.4959
eun1,DIAMOND,IV,dull,75,77,0.4934
eun1,DIAMOND,IV,Fheder,71,68,0.5108
eun1,DIAMOND,IV,EgoTT,62,47,0.5688
eun1,DIAMOND,IV,Slowenc,65,66,0.4962
eun1,DIAMOND,IV,Whiskas CatMilk,61,69,0.4692
eun1,DIAMOND,IV,TH Speedy,69,35,0.6635
eun1,DIAMOND,IV,Thin White Duke,385,392,0.4955
eun1,DIAMOND,IV,AstralStyle,156,126,0.5532
eun1,DIAMOND,IV,ANS JONtheBEST,578,520,0.5264
eun1,DIAMOND,IV,Vrwma Rito,501,455,0.5241
eun1,DIAMOND,IV,Blattlied,340,340,0.5
eun1,DIAMOND,IV,SorrYiiii,97,97,0.5
eun1,DIAMOND,IV,Ahrinoid,813,770,0.5136
eun1,DIAMOND,IV,Archee,72,58,0.5538
eun1,DIAMOND,IV,Sebą,64,51,0.5565
eun1,DIAMOND,IV,ΖiIean,220,221,0.4989
eun1,DIAMOND,IV,Tr0pex,22,16,0.5789
eun1,DIAMOND,IV,Loneliness,99,83,0.544
eun1,DIAMOND,IV,sfeclis,100,95,0.5128
eun1,DIAMOND,IV,skumbag doser,28,45,0.3836
eun1,DIAMOND,IV,Aosheen,558,539,0.5087
eun1,DIAMOND,IV,RightInTwo,359,345,0.5099
eun1,DIAMOND,IV,OG Nekri,40,31,0.5634
eun1,DIAMOND,IV,Salladyn,253,240,0.5132
eun1,DIAMOND,IV,SenseiPeanut,389,388,0.5006
eun1,DIAMOND,IV,Respirra v2,108,105,0.507
eun1,DIAMOND,IV,Galm 2 Solo Wing,201,205,0.4951
eun1,DIAMOND,IV,Lamayer,113,82,0.5795
eun1,DIAMOND,IV,Pepeszka,153,137,0.5276
eun1,DIAMOND,IV,Chunkyz zz6,124,113,0.5232
eun1,DIAMOND,IV,Zella,45,34,0.5696
eun1,DIAMOND,IV,Génkezelt Banán,129,112,0.5353
eun1,DIAMOND,IV,M1k4d0,308,308,0.5
eun1,DIAMOND,IV,Nãji,66,84,0.44
eun1,DIAMOND,IV,Mad Ven0m,525,485,0.5198
eun1,DIAMOND,IV,sprile10,86,101,0.4599
eun1,DIAMOND,IV,Fierra Skyfire,380,362,0.5121
eun1,DIAMOND,IV,Lick It Up,100,95,0.5128
eun1,DIAMOND,IV,ovono,448,448,0.5
eun1,DIAMOND,IV,ALE ŁATWIUTKO,55,48,0.534
eun1,DIAMOND,IV,Am Peaky Blinder,224,233,0.4902
eun1,DIAMOND,IV,Anivia carry me,433,468,0.4806
eun1,DIAMOND,IV,BrokenCore,44,33,0.5714
eun1,DIAMOND,IV,Chrjs,183,166,0.5244
eun1,DIAMOND,IV,BrassJ,104,88,0.5417
eun1,DIAMOND,IV,Miś Lumiś,32,32,0.5
eun1,DIAMOND,IV,Lysho,786,796,0.4968
eun1,DIAMOND,IV,AODDAODD,49,32,0.6049
eun1,DIAMOND,IV,Peachslap,36,42,0.4615
eun1,DIAMOND,IV,Master Squire,549,518,0.5145
eun1,DIAMOND,IV,Aκi,136,127,0.5171
eun1,DIAMOND,IV,KLAPEK,128,157,0.4491
eun1,DIAMOND,IV,Marsuc,62,62,0.5
eun1,DIAMOND,IV,El Greco,494,488,0.5031
eun1,DIAMOND,IV,Titànium,157,131,0.5451
eun1,DIAMOND,IV,Vathivis,67,64,0.5115
eun1,DIAMOND,IV,Legenda z Brna,73,96,0.432
eun1,DIAMOND,IV,evilgenius,353,341,0.5086
eun1,DIAMOND,IV,Jackass,296,287,0.5077
eun1,DIAMOND,IV,ZokaKami,485,452,0.5176
eun1,DIAMOND,IV,Nixxiu,391,392,0.4994
eun1,DIAMOND,IV,Mordred,130,124,0.5118
eun1,DIAMOND,IV,vR4h,145,129,0.5292
eun1,DIAMOND,IV,Chrapuančelo,124,114,0.521
eun1,DIAMOND,IV,Chamsin,72,61,0.5414
eun1,DIAMOND,IV,Baba Lemonade,134,113,0.5425
eun1,DIAMOND,IV,Hashiya,439,390,0.5296
eun1,DIAMOND,IV,ToxicOutrox,460,462,0.4989
eun1,DIAMOND,IV,Huher,88,95,0.4809
eun1,DIAMOND,IV,effist,139,119,0.5388
eun1,DIAMOND,IV,GN Kamida,108,81,0.5714
eun1,DIAMOND,IV,SoSika,208,205,0.5036
eun1,DIAMOND,IV,Oriathim,395,414,0.4883
eun1,DIAMOND,IV,Kässadin,122,104,0.5398
eun1,DIAMOND,IV,TYLER onE,55,46,0.5446
eun1,DIAMOND,IV,Oikes,148,115,0.5627
eun1,DIAMOND,IV,olegs burovs,296,274,0.5193
eun1,DIAMOND,IV,Weakness,97,88,0.5243
eun1,DIAMOND,IV,Vigorous,75,54,0.5814
eun1,DIAMOND,IV,TSM FTX FANBOY,400,355,0.5298
eun1,DIAMOND,IV,zMihai,309,297,0.5099
eun1,DIAMOND,IV,TroubleMak3r,53,49,0.5196
eun1,DIAMOND,IV,Cichutek,29,34,0.4603
eun1,DIAMOND,IV,iBella,42,20,0.6774
eun1,DIAMOND,IV,Jespér,422,387,0.5216
eun1,DIAMOND,IV,tsitsaki,302,299,0.5025
eun1,DIAMOND,IV,DécϋbitϋS,38,35,0.5205
eun1,DIAMOND,IV,Lirenne,177,175,0.5028
eun1,DIAMOND,IV,Crab Stan,97,100,0.4924
eun1,DIAMOND,IV,LOSERINA,315,330,0.4884
eun1,DIAMOND,IV,CrazyGambl3r,66,67,0.4962
eun1,DIAMOND,IV,MechanicalKld,124,115,0.5188
eun1,DIAMOND,IV,Mpakalogatos,451,428,0.5131
eun1,DIAMOND,IV,The Shade,150,146,0.5068
eun1,DIAMOND,IV,Dester,101,99,0.505
eun1,DIAMOND,IV,Blackdark,163,151,0.5191
eun1,DIAMOND,IV,ˆˉΞˉˆ,301,290,0.5093
eun1,DIAMOND,IV,MãiBênNhauBanNho,141,144,0.4947
eun1,DIAMOND,IV,Encon,165,150,0.5238
eun1,DIAMOND,IV,Porotajp,163,176,0.4808
eun1,DIAMOND,IV,p1a2r3i4s,7,3,0.7
eun1,DIAMOND,IV,DOCDA,114,77,0.5969
eun1,DIAMOND,IV,uberhenu,70,57,0.5512
eun1,DIAMOND,IV,Reyodor,107,89,0.5459
eun1,DIAMOND,IV,Pennywîse,344,314,0.5228
eun1,DIAMOND,IV,Liaphyta,185,163,0.5316
eun1,DIAMOND,IV,xXBSATSHOTXx,77,69,0.5274
eun1,DIAMOND,IV,DeadlyStun,460,463,0.4984
eun1,DIAMOND,IV,Sasúo ,292,286,0.5052
eun1,DIAMOND,IV,SKT  Izaul,41,33,0.5541
eun1,DIAMOND,IV,bigjohny,359,319,0.5295
eun1,DIAMOND,IV,Mole Frijole,32,41,0.4384
eun1,DIAMOND,IV,Saiko,108,87,0.5538
eun1,DIAMOND,IV,Abusive Parent,24,10,0.7059
eun1,DIAMOND,IV,Iñsane,31,35,0.4697
eun1,DIAMOND,IV,anton333,366,362,0.5027
eun1,DIAMOND,IV,huraaa,62,54,0.5345
eun1,DIAMOND,IV,AndyBet,342,317,0.519
eun1,DIAMOND,IV,leonss14,274,280,0.4946
eun1,DIAMOND,IV,Jineun iyu,318,298,0.5162
eun1,DIAMOND,IV,Valdorn,165,171,0.4911
eun1,DIAMOND,IV,JozefZlodejDeti,101,91,0.526
eun1,DIAMOND,IV,Krzysio,209,205,0.5048
eun1,DIAMOND,IV,Magglu IG,193,201,0.4898
eun1,DIAMOND,IV,maticolin,96,117,0.4507
eun1,DIAMOND,IV,Qeeze,157,164,0.4891
eun1,DIAMOND,IV,Interreflection,52,64,0.4483
eun1,DIAMOND,IV,petardaa,429,406,0.5138
eun1,DIAMOND,IV,Paρyros,111,106,0.5115
eun1,DIAMOND,IV,Tsos,49,36,0.5765
eun1,DIAMOND,IV,NeveRLiNe,345,310,0.5267
eun1,DIAMOND,IV,to zależy,183,113,0.6182
eun1,DIAMOND,IV,UnRickon,219,208,0.5129
eun1,DIAMOND,IV,Ascaria,111,109,0.5045
eun1,DIAMOND,III,Merodaz,468,433,0.5194
eun1,DIAMOND,III,Tryl,95,79,0.546
eun1,DIAMOND,III,darkcizer,126,104,0.5478
eun1,DIAMOND,III,Stalminator,51,49,0.51
eun1,DIAMOND,III,IS1387b9a57d85aa,389,338,0.5351
eun1,DIAMOND,III,veimikulous,214,209,0.5059
eun1,DIAMOND,III,Tsekouris,612,609,0.5012
eun1,DIAMOND,III,TheAncient0ne,265,218,0.5487
eun1,DIAMOND,III,ZοDiaC,134,131,0.5057
eun1,DIAMOND,III,Boblo Boblucci,428,394,0.5207
eun1,DIAMOND,III,Tizy,325,306,0.5151
eun1,DIAMOND,III,Rether,233,219,0.5155
eun1,DIAMOND,III,Bai,54,54,0.5
eun1,DIAMOND,III,wenda,57,43,0.57
eun1,DIAMOND,III,Almukantarat,194,182,0.516
eun1,DIAMOND,III,Skavo Lacus,51,46,0.5258
eun1,DIAMOND,III,Zero Requiem,71,88,0.4465
eun1,DIAMOND,III,oreo pouli bro,91,83,0.523
eun1,DIAMOND,III,Reconect,136,130,0.5113
eun1,DIAMOND,III,GangSh3t777,667,617,0.5195
eun1,DIAMOND,III,SugarDaddy14,282,277,0.5045
eun1,DIAMOND,III,Wieprzoras,336,307,0.5226
eun1,DIAMOND,III,Cyber Samurai,453,432,0.5119
eun1,DIAMOND,III,D Λ N K Λ N ,41,65,0.3868
eun1,DIAMOND,III,FOÇUS,159,131,0.5483
eun1,DIAMOND,III,wad1m,86,76,0.5309
eun1,DIAMOND,III,ENOD,197,210,0.484
eun1,DIAMOND,III,ODYSSEAS222,737,699,0.5132
eun1,DIAMOND,III,Kauscubi,239,235,0.5042
eun1,DIAMOND,III,Zeneeth,73,69,0.5141
eun1,DIAMOND,III,PP4Life,274,261,0.5121
eun1,DIAMOND,III,Kelstah,904,895,0.5025
eun1,DIAMOND,III,Pykersomniac,116,103,0.5297
eun1,DIAMOND,III,CYATO Jastrzomb,75,73,0.5068
eun1,DIAMOND,III,Richard Head,46,40,0.5349
eun1,DIAMOND,III,Soloing,381,381,0.5
eun1,DIAMOND,III,Too FAT to Fit,193,188,0.5066
eun1,DIAMOND,III,Ronan49,48,57,0.4571
eun1,DIAMOND,III,Fat420EgoCap,733,693,0.514
eun1,DIAMOND,III,OcuIus,294,288,0.5052
eun1,DIAMOND,III,Kàstoras,33,38,0.4648
eun1,DIAMOND,III,DanTee96,171,154,0.5262
eun1,DIAMOND,III,Isnoss,93,59,0.6118
eun1,DIAMOND,III,siviriantiger,144,117,0.5517
eun1,DIAMOND,III,Urtan,202,198,0.505
eun1,DIAMOND,III,The Parez5,21,14,0.6
eun1,DIAMOND,III,M1kSaZ3k4,234,191,0.5506
eun1,DIAMOND,III,Wagyu Supreme,51,56,0.4766
eun1,DIAMOND,III,Znargo,57,64,0.4711
eun1,DIAMOND,III,vsak,251,206,0.5492
eun1,DIAMOND,III,Donnie Branko,474,477,0.4984
eun1,DIAMOND,III,Salu187,139,79,0.6376
eun1,DIAMOND,III,Wifebuff Werstef,43,40,0.5181
eun1,DIAMOND,III,Neka,61,40,0.604
eun1,DIAMOND,III,Sneaky Blinder,430,394,0.5218
eun1,DIAMOND,III,FilippaoMeKakao,78,85,0.4785
eun1,DIAMOND,III,lORD bABA,225,196,0.5344
eun1,DIAMOND,III,Speedeath,104,58,0.642
eun1,DIAMOND,III,lorge frend,219,218,0.5011
eun1,DIAMOND,III,Skulisia Zwh,125,123,0.504
eun1,DIAMOND,III,Quintius,96,68,0.5854
eun1,DIAMOND,III,DOG BLACK,145,139,0.5106
eun1,DIAMOND,III,Gromislav,391,380,0.5071
eun1,DIAMOND,III,bezkarny,139,134,0.5092
eun1,DIAMOND,III,ERDI GOGOLI,492,487,0.5026
eun1,DIAMOND,III,Ryoiiki Tenkai,429,447,0.4897
eun1,DIAMOND,III,RC stationen,76,54,0.5846
eun1,DIAMOND,III,Dareline,148,84,0.6379
eun1,DIAMOND,III,Carpal to Rank 1,110,104,0.514
eun1,DIAMOND,III,Pumbaa 69,247,244,0.5031
eun1,DIAMOND,III,sayuο,174,181,0.4901
eun1,DIAMOND,III,EatPizzaFTW,821,791,0.5093
eun1,DIAMOND,III,Memor,215,216,0.4988
eun1,DIAMOND,III,Miryani,106,110,0.4907
eun1,DIAMOND,III,Kitakosalama,86,90,0.4886
eun1,DIAMOND,III,Daisy Onlyfans,191,134,0.5877
eun1,DIAMOND,III,olrak,496,480,0.5082
eun1,DIAMOND,III,Suigrun,36,34,0.5143
eun1,DIAMOND,III,Tyrusa,42,36,0.5385
eun1,DIAMOND,III,Turboheals,271,266,0.5047
eun1,DIAMOND,III,AKayle47,381,353,0.5191
eun1,DIAMOND,III,Shocksy,306,300,0.505
eun1,DIAMOND,III,UwU Ola,158,146,0.5197
eun1,DIAMOND,III,AdmiralMuszek,148,123,0.5461
eun1,DIAMOND,III,Frýďa,33,22,0.6
eun1,DIAMOND,III,Marmist,61,53,0.5351
eun1,DIAMOND,III,Fíha,86,82,0.5119
eun1,DIAMOND,III,faceit level 10,553,561,0.4964
eun1,DIAMOND,III,18cm na volnobeh,262,270,0.4925
eun1,DIAMOND,III,Dysthγmia ,231,240,0.4904
eun1,DIAMOND,III,DiGitaLeLecTro,906,874,0.509
eun1,DIAMOND,III,Pablo Memento,152,124,0.5507
eun1,DIAMOND,III,Reformed Mifko,538,508,0.5143
eun1,DIAMOND,III,Tsatsos,92,77,0.5444
eun1,DIAMOND,III,Kamil,91,124,0.4233
eun1,DIAMOND,III,BagOfBones,230,242,0.4873
eun1,DIAMOND,III,Amazing Roo,270,279,0.4918
eun1,DIAMOND,III,HawajHa,49,44,0.5269
eun1,DIAMOND,III,SpenzY,549,553,0.4982
eun1,DIAMOND,III,Evil Jabi,460,470,0.4946
eun1,DIAMOND,III,player 4,484,469,0.5079
eun1,DIAMOND,III,patifon123,310,287,0.5193
eun1,DIAMOND,III,Mlikoo,126,105,0.5455
eun1,DIAMOND,III,OLOSMESA,316,286,0.5249
eun1,DIAMOND,III,Belveder,55,54,0.5046
eun1,DIAMOND,III,i guess my bad ,192,205,0.4836
eun1,DIAMOND,III,Spammy,66,62,0.5156
eun1,DIAMOND,III,VonNebula,246,182,0.5748
eun1,DIAMOND,III,Edgecutor,141,153,0.4796
eun1,DIAMOND,III,Poye Bao 33,618,631,0.4948
eun1,DIAMOND,III,Keniú,143,162,0.4689
eun1,DIAMOND,III,David  je Hi zl,203,193,0.5126
eun1,DIAMOND,III,Parabalus,219,197,0.5264
eun1,DIAMOND,III,TheDarkKnife,134,137,0.4945
eun1,DIAMOND,III,Matiz09,78,73,0.5166
eun1,DIAMOND,III,Κouv,115,115,0.5
eun1,DIAMOND,III,Melon Tusk,169,170,0.4985
eun1,DIAMOND,III,Mistëry,287,245,0.5395
eun1,DIAMOND,III,EG Kiƒliš,199,192,0.509
eun1,DIAMOND,III,Quagon,58,61,0.4874
eun1,DIAMOND,III,Pivchanskiy,337,323,0.5106
eun1,DIAMOND,III,ØctaBeast,101,105,0.4903
eun1,DIAMOND,III,DeepSilent1993,274,231,0.5426
eun1,DIAMOND,III,BetterDCthanADC,310,253,0.5506
eun1,DIAMOND,III,KapłanKrzysztof,428,424,0.5023
eun1,DIAMOND,III,Fluffy Obvious,87,72,0.5472
eun1,DIAMOND,III,MaCh1n3,122,98,0.5545
eun1,DIAMOND,III,FF 15 DAWGS,105,88,0.544
eun1,DIAMOND,III,PSYCHAS,185,152,0.549
eun1,DIAMOND,III,º69º,255,238,0.5172
eun1,DIAMOND,III,Svanerne,189,188,0.5013
eun1,DIAMOND,III,Milld,42,36,0.5385
eun1,DIAMOND,III,Forg0tten Gaijin,50,62,0.4464
eun1,DIAMOND,III,Darthnel,70,46,0.6034
eun1,DIAMOND,III,No 0000000000001,138,138,0.5
eun1,DIAMOND,III,Grothar,58,47,0.5524
eun1,DIAMOND,III,Yoniță,57,43,0.57
eun1,DIAMOND,III,Poppilicious,138,144,0.4894
eun1,DIAMOND,III,SzadoU Łorior ,119,77,0.6071
eun1,DIAMOND,III,Vhacking,334,310,0.5186
eun1,DIAMOND,III,dangus ,84,97,0.4641
eun1,DIAMOND,III,FuXeR,26,25,0.5098
eun1,DIAMOND,III,Dotero,48,54,0.4706
eun1,DIAMOND,III,Mars15,215,212,0.5035
eun1,DIAMOND,III,Vad0s,75,61,0.5515
eun1,DIAMOND,III,Septagon Szef,37,20,0.6491
eun1,DIAMOND,III,DiabolicWolf,333,328,0.5038
eun1,DIAMOND,III,Axxel,269,247,0.5213
eun1,DIAMOND,III,Son GokÙ,219,183,0.5448
eun1,DIAMOND,III,Ghostself,245,175,0.5833
eun1,DIAMOND,III,Kode,108,86,0.5567
eun1,DIAMOND,III,TEN TOES DOWN,189,151,0.5559
eun1,DIAMOND,III,Tilted CoCo,329,299,0.5239
eun1,DIAMOND,III,MinotoriaN,130,119,0.5221
eun1,DIAMOND,III,BetheWords,253,257,0.4961
eun1,DIAMOND,III,KÍritØ,369,342,0.519
eun1,DIAMOND,III,wala,500,465,0.5181
eun1,DIAMOND,III,PPH Ps5rris,451,444,0.5039
eun1,DIAMOND,III,Jugi v3,145,126,0.5351
eun1,DIAMOND,III,Jhin it up,638,611,0.5108
eun1,DIAMOND,III,Äxeßlast,672,656,0.506
eun1,DIAMOND,III,BeeLikeKrero,151,148,0.505
eun1,DIAMOND,III,CyB Senpepe,218,198,0.524
eun1,DIAMOND,III,1Tapp,168,156,0.5185
eun1,DIAMOND,III,Belbezzab,152,143,0.5153
eun1,DIAMOND,III,Spartan992,155,143,0.5201
eun1,DIAMOND,III,LaKnox,448,447,0.5006
eun1,DIAMOND,III,NeloAngelo,194,190,0.5052
eun1,DIAMOND,III,GT 420Quickdraw,413,409,0.5024
eun1,DIAMOND,III,ByDenisko Yo,696,656,0.5148
eun1,DIAMOND,III,LichPain,128,108,0.5424
eun1,DIAMOND,III,K1cA,632,613,0.5076
eun1,DIAMOND,III,Niemiec z Polski,98,119,0.4516
eun1,DIAMOND,III,Knut Okrutny,322,308,0.5111
eun1,DIAMOND,III,0wieczka,244,250,0.4939
eun1,DIAMOND,III,Astheroth,43,16,0.7288
eun1,DIAMOND,III,Dvoryn,197,159,0.5534
eun1,DIAMOND,III,TheHalfBloodKing,203,185,0.5232
eun1,DIAMOND,III,Casanovas,79,80,0.4969
eun1,DIAMOND,III,INS1OUS,218,213,0.5058
eun1,DIAMOND,III,MαtiXu,458,456,0.5011
eun1,DIAMOND,III,freak ALASKA,349,345,0.5029
eun1,DIAMOND,III,hi im wojtek,274,277,0.4973
eun1,DIAMOND,III,le Gangsta Pug,98,107,0.478
eun1,DIAMOND,III,KKkran,499,465,0.5176
eun1,DIAMOND,III,Sick Mechanics,85,98,0.4645
eun1,DIAMOND,III,Mr Jiji,202,201,0.5012
eun1,DIAMOND,III,SynTengieiPäuy,153,133,0.535
eun1,DIAMOND,III,Korne,34,31,0.5231
eun1,DIAMOND,III,Uniqu3,116,124,0.4833
eun1,DIAMOND,III,xXxFaTaLiTyxXx,1363,1327,0.5067
eun1,DIAMOND,III,3CY Caracarn,211,192,0.5236
eun1,DIAMOND,III,soker11,100,69,0.5917
eun1,DIAMOND,III,KIMOCHI YOKATTA,87,87,0.5
eun1,DIAMOND,III,Menjii,316,274,0.5356
eun1,DIAMOND,III,178cm 66kg 3cm,448,441,0.5039
eun1,DIAMOND,III,Roxy Migurdia,536,552,0.4926
eun1,DIAMOND,III,Pidzama,780,741,0.5128
eun1,DIAMOND,III,RaideNN,144,88,0.6207
eun1,DIAMOND,III,BannanaJuice,87,77,0.5305
eun1,DIAMOND,III,ZapachStarca69,205,157,0.5663
eun1,DIAMOND,III,Kagekun,142,132,0.5182
eun1,DIAMOND,III,Triphida,298,322,0.4806
eun1,DIAMOND,III,merio,90,76,0.5422
eun1,DIAMOND,III,trexatoss,264,221,0.5443
eun1,DIAMOND,II, 1 1 v i b e s,454,423,0.5177
eun1,DIAMOND,II,Lord Radowan,110,80,0.5789
eun1,DIAMOND,II,Toxic Janna,233,214,0.5213
eun1,DIAMOND,II,Corrupt Shaco,127,118,0.5184
eun1,DIAMOND,II,Olasama,129,119,0.5202
eun1,DIAMOND,II,Umoraki,92,57,0.6174
eun1,DIAMOND,II,ıve,293,275,0.5158
eun1,DIAMOND,II,DevGrin,102,81,0.5574
eun1,DIAMOND,II,Skits Vicious,7,3,0.7
eun1,DIAMOND,II,JAVIER DOUGLAS,440,425,0.5087
eun1,DIAMOND,II,Kyjzeh,32,21,0.6038
eun1,DIAMOND,II,Encripta,224,232,0.4912
eun1,DIAMOND,II,Aizennn,698,666,0.5117
eun1,DIAMOND,II,lfouvcek,100,88,0.5319
eun1,DIAMOND,II,Rookie Steve,102,104,0.4951
eun1,DIAMOND,II,Sim,278,267,0.5101
eun1,DIAMOND,II,sugimoe,602,566,0.5154
eun1,DIAMOND,II,polyxeros,170,142,0.5449
eun1,DIAMOND,II,vhn,94,82,0.5341
eun1,DIAMOND,II,Manorah v2,37,38,0.4933
eun1,DIAMOND,II,Heal Machine,139,155,0.4728
eun1,DIAMOND,II,DoWG Akriela,133,155,0.4618
eun1,DIAMOND,II,Mr Jamaica,449,444,0.5028
eun1,DIAMOND,II,K 9,60,45,0.5714
eun1,DIAMOND,II,I Chosen I,198,183,0.5197
eun1,DIAMOND,II,McS,104,98,0.5149
eun1,DIAMOND,II,Bajen,149,158,0.4853
eun1,DIAMOND,II,KseroMania,262,232,0.5304
eun1,DIAMOND,II,Brokky,355,327,0.5205
eun1,DIAMOND,II,Greatwolf Sif,73,62,0.5407
eun1,DIAMOND,II,Pr3dictive,380,341,0.527
eun1,DIAMOND,II,Turbo Randy,106,69,0.6057
eun1,DIAMOND,II,the famous oNe,29,23,0.5577
eun1,DIAMOND,II,krakenzvjer,257,262,0.4952
eun1,DIAMOND,II,Garra97,107,103,0.5095
eun1,DIAMOND,II,Black Dragon 13,198,159,0.5546
eun1,DIAMOND,II,LUI VI,262,259,0.5029
eun1,DIAMOND,II,Birtek,325,319,0.5047
eun1,DIAMOND,II,H5 SpellSinger,389,382,0.5045
eun1,DIAMOND,II,Hikage Ail,201,189,0.5154
