region,rank,division,summonerName,win,lose,winRatio,DorF
euw1,DIAMOND,IV,Amber Moonlight,250,244,0.5061,2
euw1,DIAMOND,IV,FullDmgFastCombo,177,190,0.4823,2
euw1,DIAMOND,IV,Zippor,184,176,0.5111,2
euw1,DIAMOND,IV,Sharnik,408,382,0.5165,2
euw1,DIAMOND,IV,BaguetteLucifer,175,144,0.5486,1
euw1,DIAMOND,IV,Ornns Dirty Ass,410,347,0.5416,3
euw1,DIAMOND,IV,PRO tecting Her ,127,147,0.4635,2
euw1,DIAMOND,IV,poppyafterdark,248,246,0.502,2
euw1,DIAMOND,IV,AK47ALl,66,45,0.5946,2
euw1,DIAMOND,IV,zunome,214,174,0.5515,1
euw1,DIAMOND,IV,MVP Sugar,264,255,0.5087,2
euw1,DIAMOND,IV,Iiuz,261,242,0.5189,2
euw1,DIAMOND,IV,Rogalloo,165,170,0.4925,2
euw1,DIAMOND,IV,Laotionerfo,52,36,0.5909,2
euw1,DIAMOND,IV,Redlichkeit,165,151,0.5222,2
euw1,DIAMOND,IV,CursedTop,205,220,0.4824,1
euw1,DIAMOND,IV,KashiriRaki,220,186,0.5419,2
euw1,DIAMOND,IV,Revresuar,73,79,0.4803,2
euw1,DIAMOND,IV,BLĂCK,112,81,0.5803,2
euw1,DIAMOND,IV,DeltaFoxQtpie,209,187,0.5278,1
euw1,DIAMOND,IV,ZioSorre,60,54,0.5263,1
euw1,DIAMOND,IV,KhaZma,269,258,0.5104,1
euw1,DIAMOND,IV,Mαgumα,43,40,0.5181,1
euw1,DIAMOND,IV,Forged in GH,52,65,0.4444,2
euw1,DIAMOND,IV,Horikon,252,252,0.5,2
euw1,DIAMOND,IV,Daνura,128,115,0.5267,1
euw1,DIAMOND,IV,Draktaar,353,280,0.5577,2
euw1,DIAMOND,IV,Bodo420,483,458,0.5133,2
euw1,DIAMOND,IV,notoriety,294,265,0.5259,2
euw1,DIAMOND,IV,Rorji,155,144,0.5184,1
euw1,DIAMOND,IV,Petite Banana,369,348,0.5146,2
euw1,DIAMOND,IV,dannymenn1,487,491,0.498,1
euw1,DIAMOND,IV,SSGSS TEEMO,65,69,0.4851,2
euw1,DIAMOND,IV,fakergodx,91,71,0.5617,2
euw1,DIAMOND,IV,A Toxic Vayne,161,143,0.5296,2
euw1,DIAMOND,IV,otaku ahri,207,170,0.5491,2
euw1,DIAMOND,IV,Bazippo,76,108,0.413,2
euw1,DIAMOND,IV,Shaôrän Yûan,31,58,0.3483,1
euw1,DIAMOND,IV,Krıs,129,84,0.6056,2
euw1,DIAMOND,IV,LimiTless0727,76,101,0.4294,2
euw1,DIAMOND,IV,Inst4nd3r,164,127,0.5636,2
euw1,DIAMOND,IV,Im Mazi,80,59,0.5755,2
euw1,DIAMOND,IV,SNIPER MØNKEY,311,280,0.5262,1
euw1,DIAMOND,IV,Im Inv3rs0,46,45,0.5055,1
euw1,DIAMOND,IV,ZedPlaysLUL,54,31,0.6353,2
euw1,DIAMOND,IV,Buzby,263,238,0.525,1
euw1,DIAMOND,IV,Thiccelfears,185,161,0.5347,2
euw1,DIAMOND,IV,Bill Chang x1,62,59,0.5124,2
euw1,DIAMOND,IV,Silent HiII,554,530,0.5111,2
euw1,DIAMOND,IV,Vankell,77,68,0.531,2
euw1,DIAMOND,IV,Shisui Seishiro,138,121,0.5328,2
euw1,DIAMOND,IV,flyerbek v2,213,182,0.5392,2
euw1,DIAMOND,IV,truecerealkiller,272,237,0.5344,2
euw1,DIAMOND,IV,LGgamerx,431,418,0.5077,2
euw1,DIAMOND,IV,lambforever,223,181,0.552,2
euw1,DIAMOND,IV,My ult is ready,192,148,0.5647,2
euw1,DIAMOND,IV,Sourman,113,99,0.533,1
euw1,DIAMOND,IV,Takagi Masao,46,25,0.6479,2
euw1,DIAMOND,IV,leLiight,56,49,0.5333,2
euw1,DIAMOND,IV,Pannekucken4Life,53,45,0.5408,2
euw1,DIAMOND,IV,FireFlareOliver,775,761,0.5046,2
euw1,DIAMOND,IV,Loozin,123,121,0.5041,2
euw1,DIAMOND,IV,Second Blue Me,225,222,0.5034,1
euw1,DIAMOND,IV,OnlyfansSett,126,106,0.5431,2
euw1,DIAMOND,IV,CatchRivenIfUCan,128,111,0.5356,2
euw1,DIAMOND,IV,Niose07,35,27,0.5645,2
euw1,DIAMOND,IV,lm decent,37,37,0.5,1
euw1,DIAMOND,IV,Goth girl τη,125,93,0.5734,1
euw1,DIAMOND,IV,Eli TT Eliason,64,39,0.6214,2
euw1,DIAMOND,IV,AnarchyOfTheBan,107,77,0.5815,2
euw1,DIAMOND,IV,oOo Yuzuru oOo,224,190,0.5411,2
euw1,DIAMOND,IV,Nebse1,184,165,0.5272,2
euw1,DIAMOND,IV,Mematho,600,583,0.5072,2
euw1,DIAMOND,IV,Karel Anker,79,87,0.4759,2
euw1,DIAMOND,IV,IlIllllIIlIIllI,8,11,0.4211,2
euw1,DIAMOND,IV,Bot Arm0s,113,96,0.5407,2
euw1,DIAMOND,IV,Tory Lanezz,248,257,0.4911,2
euw1,DIAMOND,IV,Jaw Spinner,249,244,0.5051,1
euw1,DIAMOND,IV,meliο,126,81,0.6087,1
euw1,DIAMOND,IV,Kappastorm,78,67,0.5379,1
euw1,DIAMOND,IV,Yossune,109,90,0.5477,1
euw1,DIAMOND,IV,Vaynixx1,45,49,0.4787,2
euw1,DIAMOND,IV,Bionus,347,330,0.5126,2
euw1,DIAMOND,IV,Malandro,100,53,0.6536,2
euw1,DIAMOND,IV,SimpelHD,152,151,0.5017,2
euw1,DIAMOND,IV,Bless of Soraka,280,281,0.4991,1
euw1,DIAMOND,IV,sgt Joker,76,52,0.5938,2
euw1,DIAMOND,IV,DFM Neko,329,271,0.5483,2
euw1,DIAMOND,IV,gatıta,158,108,0.594,2
euw1,DIAMOND,IV,ĄrKoS,96,109,0.4683,2
euw1,DIAMOND,IV,Moe Farah,50,40,0.5556,2
euw1,DIAMOND,IV,Supertoxicteddy,228,205,0.5266,1
