region,rank,division,summonerName,win,lose,winRatio,DorF
jp1,DIAMOND,IV,A K I R A  LY,52,69,0.4298,1
jp1,DIAMOND,IV,Aスロ,78,56,0.5821,2
jp1,DIAMOND,IV,しゅんくんの穴,79,60,0.5683,2
jp1,DIAMOND,IV,Hit,837,836,0.5003,2
jp1,DIAMOND,IV,eXlou,145,153,0.4866,1
jp1,DIAMOND,IV,TAKA0708,76,37,0.6726,1
jp1,DIAMOND,IV,おつけいまる,349,342,0.5051,2
jp1,DIAMOND,IV,Epik High fan,387,344,0.5294,1
jp1,DIAMOND,IV,マイキ一,188,164,0.5341,2
jp1,DIAMOND,IV,Rush Fanboy,197,195,0.5026,1
jp1,DIAMOND,IV,サンバゴリラ三世,22,8,0.7333,2
jp1,DIAMOND,IV,DIOOOOOOOO,142,119,0.5441,1
jp1,DIAMOND,IV,ボボビビー,187,155,0.5468,1
jp1,DIAMOND,IV,SparkIing Summer,95,58,0.6209,2
jp1,DIAMOND,IV,demaciaaaa,167,134,0.5548,2
jp1,DIAMOND,IV,しゅーーーと,61,69,0.4692,2
jp1,DIAMOND,IV,鬼丸国綱,43,32,0.5733,1
jp1,DIAMOND,IV,2021夏天的RNG,216,169,0.561,2
jp1,DIAMOND,IV,milktea42,42,33,0.56,1
jp1,DIAMOND,IV,74523169875621,160,117,0.5776,1
jp1,DIAMOND,IV,煉獄為流神濾器,122,86,0.5865,2
jp1,DIAMOND,IV,324214,235,233,0.5021,2
jp1,DIAMOND,IV,ウルレティシア,194,159,0.5496,1
jp1,DIAMOND,IV,ファンタ,509,483,0.5131,1
jp1,DIAMOND,IV,トリンドルメア,103,82,0.5568,2
jp1,DIAMOND,IV,せんぱんやました,39,19,0.6724,1
jp1,DIAMOND,IV,TERMIGNONI,45,33,0.5769,2
jp1,DIAMOND,IV,Τ Τ,422,386,0.5223,1
jp1,DIAMOND,IV,The 5hit,7,10,0.4118,1
jp1,DIAMOND,IV,byebaby,66,46,0.5893,1
jp1,DIAMOND,IV,Sakuramochi,563,525,0.5175,1
jp1,DIAMOND,IV,デラクトス,469,457,0.5065,1
jp1,DIAMOND,IV,輪廻闇妖散華,122,121,0.5021,0
jp1,DIAMOND,IV,風に舞う炎,192,156,0.5517,1
jp1,DIAMOND,IV,Nutty,61,43,0.5865,2
jp1,DIAMOND,IV,凶夢伝染,156,159,0.4952,1
jp1,DIAMOND,IV,アヴァローサ,191,182,0.5121,1
jp1,DIAMOND,IV,有田 春雪,33,29,0.5323,1
jp1,DIAMOND,IV,久遠千羽鶴,73,62,0.5407,1
jp1,DIAMOND,IV,Sir Cat,173,171,0.5029,2
jp1,DIAMOND,IV,lin521,197,164,0.5457,1
jp1,DIAMOND,IV,LeoSeiti,22,19,0.5366,1
jp1,DIAMOND,IV,Dreamtail Heron,264,235,0.5291,1
jp1,DIAMOND,IV,繁星夜,177,137,0.5637,1
jp1,DIAMOND,IV,ポ一ション屋さん,65,84,0.4362,0
jp1,DIAMOND,IV,おにだる,245,201,0.5493,1
jp1,DIAMOND,IV,COVID1v9,39,42,0.4815,2
jp1,DIAMOND,IV,Yolo,17,8,0.68,1
jp1,DIAMOND,IV,小酒蛙,185,172,0.5182,2
jp1,DIAMOND,IV,aspi,81,62,0.5664,2
jp1,DIAMOND,IV,無敵のマイキー,94,95,0.4974,2
jp1,DIAMOND,IV,Ancient Fear,158,138,0.5338,2
jp1,DIAMOND,IV,ガルニ,266,237,0.5288,2
jp1,DIAMOND,IV,IIIllIll,189,157,0.5462,2
jp1,DIAMOND,IV,夢幻泡影,180,174,0.5085,1
jp1,DIAMOND,IV,NAserverSUCKS,312,252,0.5532,2
jp1,DIAMOND,IV,やっちゃいなよそ,347,330,0.5126,2
jp1,DIAMOND,IV,Adrenaline Shock,203,188,0.5192,2
jp1,DIAMOND,IV,NYC Bad Boy,389,373,0.5105,2
jp1,DIAMOND,IV,銀の矢,534,486,0.5235,2
jp1,DIAMOND,IV,片山晃輔,343,322,0.5158,2
jp1,DIAMOND,IV,åŒæãŒæ,31,21,0.5962,1
jp1,DIAMOND,IV,Tarzthan,96,117,0.4507,1
jp1,DIAMOND,IV,hook better,80,51,0.6107,2
