region,rank,division,summonerName,win,lose,winRatio,DorF
kr,DIAMOND,IV,마법소녀 모야삡,433,385,0.5293,1
kr,DIAMOND,IV,LOL China,202,200,0.5025,1
kr,DIAMOND,IV,도영잉,278,259,0.5177,2
kr,DIAMOND,IV,디아몬드 4,266,272,0.4944,1
kr,DIAMOND,IV,간짜장간짬뽕,453,420,0.5189,2
kr,DIAMOND,IV,까까이팅,132,122,0.5197,1
kr,DIAMOND,IV,때 홍,54,38,0.587,2
kr,DIAMOND,IV,이블린 그 자체,233,224,0.5098,2
kr,DIAMOND,IV,피어나단한번도겨울없었던것처럼,116,78,0.5979,1
kr,DIAMOND,IV,adaad0,516,514,0.501,2
kr,DIAMOND,IV,뮤니크흐,134,112,0.5447,1
kr,DIAMOND,IV,힘이 센,692,677,0.5055,1
kr,DIAMOND,IV,강출두,331,297,0.5271,2
kr,DIAMOND,IV,꽃소나,169,143,0.5417,1
kr,DIAMOND,IV,I like quiet,94,90,0.5109,2
kr,DIAMOND,IV,will forget you,205,194,0.5138,1
kr,DIAMOND,IV,소풍왔니,32,14,0.6957,2
kr,DIAMOND,IV,뚱 슨,74,57,0.5649,1
kr,DIAMOND,IV,쌩쌩바,309,325,0.4874,1
kr,DIAMOND,IV,Adolf K Weisman,83,58,0.5887,1
kr,DIAMOND,IV,작살꾼,193,180,0.5174,1
kr,DIAMOND,IV,제너럴맨,284,267,0.5154,1
kr,DIAMOND,IV,소중함을잊지말자,250,263,0.4873,1
kr,DIAMOND,IV,학 식,368,299,0.5517,2
kr,DIAMOND,IV,검 살,269,259,0.5095,2
kr,DIAMOND,IV,틀니벤틀리,558,570,0.4947,1
kr,DIAMOND,IV,어린이보호구역스피드레이서헤머정,35,25,0.5833,2
kr,DIAMOND,IV,xodud2189,115,103,0.5275,2
kr,DIAMOND,IV,호치킨집사장님,66,46,0.5893,1
kr,DIAMOND,IV,부기발전,176,142,0.5535,2
kr,DIAMOND,IV,정글레드주도록,161,133,0.5476,1
kr,DIAMOND,IV,꿀 모 노,83,78,0.5155,2
kr,DIAMOND,IV,20060701,44,28,0.6111,1
kr,DIAMOND,IV,탱글 탱별 햇님,306,297,0.5075,2
kr,DIAMOND,IV,바닐라마닐라,181,124,0.5934,2
kr,DIAMOND,IV,마마두 샤코,167,141,0.5422,2
kr,DIAMOND,IV,회사원 이동규,278,264,0.5129,2
kr,DIAMOND,IV,신은 질문만 할뿐,55,9,0.8594,2
kr,DIAMOND,IV,나이드신강병진,223,233,0.489,1
kr,DIAMOND,IV,기묭석,112,87,0.5628,1
kr,DIAMOND,IV,섶호터,146,142,0.5069,1
kr,DIAMOND,IV,Freeze7,308,277,0.5265,1
kr,DIAMOND,IV,박흐이수,566,536,0.5136,1
kr,DIAMOND,IV,없 뜨,122,83,0.5951,1
kr,DIAMOND,IV,메가춘르,245,201,0.5493,1
kr,DIAMOND,IV,말미잘입니다,118,105,0.5291,1
kr,DIAMOND,IV,iIlliIiliiIlIi,291,256,0.532,1
kr,DIAMOND,IV,Si jinping,504,503,0.5005,1
kr,DIAMOND,IV,S0rd,19,10,0.6552,1
kr,DIAMOND,IV,손병묵,147,154,0.4884,2
kr,DIAMOND,IV,헤강고 원딜,330,330,0.5,2
kr,DIAMOND,IV,구름맛 밀키스,473,448,0.5136,1
kr,DIAMOND,IV,별수호자 김인직,595,585,0.5042,2
kr,DIAMOND,IV,adnjwanjkdawnjkd,242,244,0.4979,1
kr,DIAMOND,IV,zxczmxcmmasdasas,231,211,0.5226,1
kr,DIAMOND,IV,서 상 근,106,90,0.5408,1
kr,DIAMOND,IV,열심히들합시다,474,438,0.5197,2
kr,DIAMOND,IV,견제좀해라10련아,72,65,0.5255,1
kr,DIAMOND,IV,누누십니까,420,445,0.4855,1
kr,DIAMOND,IV,Arima,205,184,0.527,1
kr,DIAMOND,IV,그랜드듀크,174,158,0.5241,2
kr,DIAMOND,IV,그마찍고닉변,121,77,0.6111,1
kr,DIAMOND,IV,칸나 기다려,110,89,0.5528,1
kr,DIAMOND,IV,AT01,43,34,0.5584,1
kr,DIAMOND,IV,나 말 챠,121,72,0.6269,1
kr,DIAMOND,IV,내가망할것같나요,61,46,0.5701,2
kr,DIAMOND,IV,지도를모으는소녀,90,70,0.5625,1
kr,DIAMOND,IV,헬퍼아님,112,116,0.4912,2
kr,DIAMOND,IV,VFxSv,249,223,0.5275,1
kr,DIAMOND,IV,김청하김제니,297,273,0.5211,1
kr,DIAMOND,IV,내가잘한거임,114,87,0.5672,1
kr,DIAMOND,IV,마코토짱 나와줘,217,188,0.5358,1
kr,DIAMOND,IV,넌서폿이고난원딜이야멍청앙,65,44,0.5963,1
kr,DIAMOND,IV,진격의 몽뎅이,281,240,0.5393,2
kr,DIAMOND,IV,1021 Ending,329,329,0.5,2
kr,DIAMOND,IV,애쉬야 딜이짜다,341,242,0.5849,2
kr,DIAMOND,IV,종토리,451,454,0.4983,1
kr,DIAMOND,IV,Im Your Bunny,270,277,0.4936,1
kr,DIAMOND,IV,가여운,106,80,0.5699,2
kr,DIAMOND,IV,07대장 전동훈,294,226,0.5654,1
kr,DIAMOND,IV,맞기전에 때려요,212,211,0.5012,1
kr,DIAMOND,IV,St4y,310,287,0.5193,2
kr,DIAMOND,IV,A1CC,42,36,0.5385,1
kr,DIAMOND,IV,rnjswlscks,132,96,0.5789,2
kr,DIAMOND,IV,내년모레쯤,351,325,0.5192,2
kr,DIAMOND,IV,Im Faker fan,113,84,0.5736,1
kr,DIAMOND,IV,떡 영,222,166,0.5722,1
kr,DIAMOND,IV,아기대원짱,179,132,0.5756,2
kr,DIAMOND,IV,애니비아1,441,436,0.5029,1
kr,DIAMOND,IV,자야ya,107,91,0.5404,1
kr,DIAMOND,IV,숟가락후보생,134,120,0.5276,1
kr,DIAMOND,IV,김태윤개똥,503,507,0.498,1
kr,DIAMOND,IV,미드야블루먹자,272,288,0.4857,1
kr,DIAMOND,IV,감정을버린기계,220,191,0.5353,1
kr,DIAMOND,IV,99 Lilac,423,377,0.5288,1
kr,DIAMOND,IV,너와함께한 시간 눈부셨어,285,260,0.5229,1
kr,DIAMOND,IV,연지는 서폿갈래,71,50,0.5868,1
kr,DIAMOND,IV,짬그브,294,267,0.5241,1
kr,DIAMOND,IV,그게어떻게됐냐면,50,35,0.5882,2
kr,DIAMOND,IV,곰발은슭곰발,204,202,0.5025,1
kr,DIAMOND,IV,영 빠 꾸,284,264,0.5182,1
