region,rank,division,summonerName,win,lose,winRatio,DorF
la1,DIAMOND,IV,lLlordOfSky,153,144,0.5152,2
la1,DIAMOND,IV,LunaAzül,341,336,0.5037,2
la1,DIAMOND,IV,panda128,686,664,0.5081,2
la1,DIAMOND,IV,NyxPro,35,22,0.614,1
la1,DIAMOND,IV,DanDrago,147,120,0.5506,1
la1,DIAMOND,IV,lol2,158,122,0.5643,2
la1,DIAMOND,IV,Winlash,67,50,0.5726,1
la1,DIAMOND,IV,Frãn,237,234,0.5032,2
la1,DIAMOND,IV,T1 Veronica,197,182,0.5198,2
la1,DIAMOND,IV,T1 Simsimi,169,162,0.5106,2
la1,DIAMOND,IV,SUBZER0CRC,107,90,0.5431,1
la1,DIAMOND,IV,Bonbon Coffee,28,22,0.56,2
la1,DIAMOND,IV,Nymbus,103,81,0.5598,1
la1,DIAMOND,IV,042028300,47,39,0.5465,1
la1,DIAMOND,IV,RR Markus,81,71,0.5329,2
la1,DIAMOND,IV,EKZ SweetPolen,250,221,0.5308,2
la1,DIAMOND,IV,Cometa Halley,49,47,0.5104,1
la1,DIAMOND,IV,AzG Leyoer,175,167,0.5117,2
la1,DIAMOND,IV,MXA Supra,92,78,0.5412,2
la1,DIAMOND,IV,BlackBerry02,47,41,0.5341,2
la1,DIAMOND,IV,rikaq,76,66,0.5352,1
la1,DIAMOND,IV,Unknøwn Player,168,135,0.5545,1
la1,DIAMOND,IV,Carnage TJ,298,262,0.5321,3
la1,DIAMOND,IV,Mysteriee,424,390,0.5209,2
la1,DIAMOND,IV,CazaFloyd,226,206,0.5231,0
la1,DIAMOND,IV,EMMY01,44,33,0.5714,2
la1,DIAMOND,IV,Tumbado Posting,187,143,0.5667,0
la1,DIAMOND,IV,Polymorph ,197,183,0.5184,1
la1,DIAMOND,IV,Nicpro,38,28,0.5758,1
la1,DIAMOND,IV,Chaotic Memento,275,242,0.5319,1
la1,DIAMOND,IV, Stahl Nerven,119,90,0.5694,2
la1,DIAMOND,IV,Fake Jedi Ø,551,557,0.4973,2
la1,DIAMOND,IV,Violet Sophia,42,43,0.4941,2
la1,DIAMOND,IV,Adicto al Pan,288,270,0.5161,2
la1,DIAMOND,IV,CUACKER,100,104,0.4902,2
la1,DIAMOND,IV,LuArityl Prology,307,288,0.516,2
la1,DIAMOND,IV,Simmus,112,113,0.4978,1
la1,DIAMOND,IV,FAKER GG,74,51,0.592,1
la1,DIAMOND,IV,chiapaneco69,181,154,0.5403,1
la1,DIAMOND,IV,iPad 5G,748,739,0.503,2
la1,DIAMOND,IV,I lost my mind,427,402,0.5151,1
la1,DIAMOND,IV, Taki Tachibaná ,198,193,0.5064,2
la1,DIAMOND,IV,TheLucianNoob,64,40,0.6154,2
la1,DIAMOND,IV,Doctora Lux,289,249,0.5372,2
la1,DIAMOND,IV,SrFerZio OwO,144,134,0.518,2
la1,DIAMOND,IV,AGQ,200,221,0.4751,2
la1,DIAMOND,IV,Kikimora,114,86,0.57,2
la1,DIAMOND,IV,Marcelove,94,89,0.5137,2
la1,DIAMOND,IV,SandiOreo,66,44,0.6,2
la1,DIAMOND,IV,Blue Demons,29,14,0.6744,1
la1,DIAMOND,IV,Ozorus,946,950,0.4989,1
la1,DIAMOND,IV,4lgochido,119,105,0.5312,1
la1,DIAMOND,IV,bbto,113,83,0.5765,2
la1,DIAMOND,IV,Kanthroxx,292,264,0.5252,1
la1,DIAMOND,IV,Lojangato,85,49,0.6343,2
la1,DIAMOND,IV,FakeGhost,232,253,0.4784,1
la1,DIAMOND,IV,WRT ShyBat,50,42,0.5435,2
la1,DIAMOND,IV,N4TANAEL CANO,56,55,0.5045,2
la1,DIAMOND,IV,Pyrka,811,808,0.5009,2
la1,DIAMOND,IV,Rammus4999,345,312,0.5251,2
la1,DIAMOND,IV,Tak4 No Me,394,373,0.5137,2
la1,DIAMOND,IV,Actinio,423,392,0.519,2
la1,DIAMOND,IV,Henkinen Morton,164,161,0.5046,2
la1,DIAMOND,IV,ElekkJaeger,99,107,0.4806,2
la1,DIAMOND,IV,WTS Glad,48,40,0.5455,2
la1,DIAMOND,IV,ziHazexX,46,48,0.4894,2
la1,DIAMOND,IV,Feather Of Blood,15,10,0.6,1
la1,DIAMOND,IV,El Tale,212,191,0.5261,2
la1,DIAMOND,IV,Jhinzoo,80,81,0.4969,2
la1,DIAMOND,IV,HG Piedra,213,192,0.5259,2
la1,DIAMOND,IV,I Had a Wish,122,104,0.5398,2
la1,DIAMOND,IV,Swageryolomaster,34,35,0.4928,1
la1,DIAMOND,IV,Balogue,141,110,0.5618,1
la1,DIAMOND,IV,ketzah,91,60,0.6026,1
la1,DIAMOND,IV,zentocian,207,171,0.5476,1
la1,DIAMOND,IV,MasterHans,124,125,0.498,2
la1,DIAMOND,IV,þetta reddąst,631,655,0.4907,1
la1,DIAMOND,IV,CabezaDeBol0,187,153,0.55,2
la1,DIAMOND,IV,Zed Is OverPower,51,30,0.6296,2
la1,DIAMOND,IV,ZetsunaK,145,160,0.4754,2
la1,DIAMOND,IV,coldburnout,219,181,0.5475,2
la1,DIAMOND,IV,The Barbas,349,348,0.5007,2
la1,DIAMOND,IV,Ryumaki Akuma,261,228,0.5337,1
la1,DIAMOND,IV,BlåćkØBlåćk,128,102,0.5565,1
la1,DIAMOND,IV,Lunar God Yaboku,52,38,0.5778,2
la1,DIAMOND,IV,kaeltasq,293,272,0.5186,2
la1,DIAMOND,IV,SLC Nörman,59,53,0.5268,2
la1,DIAMOND,IV,S El Fantastico,504,486,0.5091,2
la1,DIAMOND,IV,AXMA,356,375,0.487,2
la1,DIAMOND,IV,Álee,79,43,0.6475,2
