region,rank,division,summonerName,win,lose,winRatio,DorF
la2,DIAMOND,IV,Maluma Baby,103,100,0.5074,2
la2,DIAMOND,IV,nik018,180,189,0.4878,2
la2,DIAMOND,IV,Elite5stars,270,232,0.5378,2
la2,DIAMOND,IV,Miguel Biñones,94,74,0.5595,2
la2,DIAMOND,IV,Koishiteru,127,77,0.6225,2
la2,DIAMOND,IV,Calurdio,517,489,0.5139,1
la2,DIAMOND,IV,ark,119,104,0.5336,1
la2,DIAMOND,IV,Röcklezz,149,112,0.5709,1
la2,DIAMOND,IV,Sett is here,829,829,0.5,2
la2,DIAMOND,IV,DkA Darkito,30,25,0.5455,2
la2,DIAMOND,IV,Totemkult,89,102,0.466,2
la2,DIAMOND,IV,monoxdxp,69,56,0.552,2
la2,DIAMOND,IV,G2 NachExell,53,42,0.5579,2
la2,DIAMOND,IV,T1 TATO,91,73,0.5549,2
la2,DIAMOND,IV,GOSUE,196,196,0.5,2
la2,DIAMOND,IV,omeguin,150,147,0.5051,2
la2,DIAMOND,IV,Salvalörd,99,97,0.5051,2
la2,DIAMOND,IV,Will Herondale,74,68,0.5211,1
la2,DIAMOND,IV,su MajestAD C,41,39,0.5125,2
la2,DIAMOND,IV,easydelta1234,79,80,0.4969,1
la2,DIAMOND,IV,El main Jh0n É,323,301,0.5176,2
la2,DIAMOND,IV,karasμ,12,4,0.75,2
la2,DIAMOND,IV,Jhinecólogo,67,57,0.5403,1
la2,DIAMOND,IV,NugettaBleedem,62,70,0.4697,2
la2,DIAMOND,IV,FerNasus145,892,864,0.508,2
la2,DIAMOND,IV,MORI Feitan,37,28,0.5692,1
la2,DIAMOND,IV,Asian Frijol,94,101,0.4821,2
la2,DIAMOND,IV,Docarito,98,60,0.6203,2
la2,DIAMOND,IV,Mano de DMT,330,306,0.5189,2
la2,DIAMOND,IV,Mëgu,291,263,0.5253,2
la2,DIAMOND,IV,No Mêrcy,38,28,0.5758,2
la2,DIAMOND,IV,Lilius,21,19,0.525,2
la2,DIAMOND,IV,DIOS ERA MID,217,182,0.5439,2
la2,DIAMOND,IV,FrijolesConChili,215,182,0.5416,1
la2,DIAMOND,IV,Kattleya,75,69,0.5208,2
la2,DIAMOND,IV,Zaki,91,96,0.4866,1
la2,DIAMOND,IV,Endurance,239,239,0.5,2
la2,DIAMOND,IV,son of the sun,538,524,0.5066,1
la2,DIAMOND,IV,El bajon,44,52,0.4583,2
la2,DIAMOND,IV,Baeris,279,257,0.5205,2
la2,DIAMOND,IV,NICOLIT0900,214,206,0.5095,2
la2,DIAMOND,IV,EXCALIBUR MORGAN,217,198,0.5229,1
la2,DIAMOND,IV,KururuSweet,79,71,0.5267,1
la2,DIAMOND,IV,G2 PIN0CHET,141,117,0.5465,2
la2,DIAMOND,IV,Syrux,30,32,0.4839,1
la2,DIAMOND,IV,El Carpeta,454,438,0.509,2
la2,DIAMOND,IV,B castro G,335,340,0.4963,2
la2,DIAMOND,IV,Tottysensual,39,29,0.5735,1
la2,DIAMOND,IV,JhinHierroCuatro,456,439,0.5095,2
la2,DIAMOND,IV,Alextint0r,148,123,0.5461,2
la2,DIAMOND,IV,CryT,53,33,0.6163,1
la2,DIAMOND,IV,DeadM4ul,259,224,0.5362,2
la2,DIAMOND,IV,Vąlën,562,542,0.5091,2
la2,DIAMOND,IV,SuperRodriFaster,84,49,0.6316,2
la2,DIAMOND,IV,AS7 Wazowski,369,347,0.5154,1
la2,DIAMOND,IV,ÐárkLightníng,119,102,0.5385,1
la2,DIAMOND,IV,Pirlonziø,213,218,0.4942,2
la2,DIAMOND,IV,Skuichy,48,27,0.64,1
la2,DIAMOND,IV,Lenderr,300,278,0.519,1
la2,DIAMOND,IV,Mclovi,58,31,0.6517,2
la2,DIAMOND,IV,Dram World,80,82,0.4938,1
la2,DIAMOND,IV,lagartoazulGS,337,307,0.5233,2
la2,DIAMOND,IV,EL F0UR TWENTY,193,152,0.5594,1
la2,DIAMOND,IV,XXdestrixser908D,32,23,0.5818,2
la2,DIAMOND,IV,ZetOr,110,107,0.5069,1
la2,DIAMOND,IV,kezta,32,34,0.4848,1
la2,DIAMOND,IV,Sano Mikey,73,67,0.5214,2
la2,DIAMOND,IV,Nakitore436,24,25,0.4898,1
la2,DIAMOND,IV,Chimuello,115,122,0.4852,2
la2,DIAMOND,IV,Cokki,27,24,0.5294,1
la2,DIAMOND,IV,Papi Gomez,68,52,0.5667,2
la2,DIAMOND,IV,Haymitch ,52,46,0.5306,2
la2,DIAMOND,IV,VENÉCIA,161,165,0.4939,2
la2,DIAMOND,IV,BKDT Rin Nohara,40,35,0.5333,0
la2,DIAMOND,IV,Little Jinx,693,651,0.5156,1
la2,DIAMOND,IV,Deus fka Gio909,120,86,0.5825,2
la2,DIAMOND,IV,juchurimaki,74,55,0.5736,2
la2,DIAMOND,IV,Bôlivianivia,159,133,0.5445,2
la2,DIAMOND,IV,pabloko0,104,112,0.4815,2
la2,DIAMOND,IV,DSiro1889,81,68,0.5436,2
la2,DIAMOND,IV,XLN Shypeer,342,313,0.5221,2
la2,DIAMOND,IV,DXG kuingpls,560,478,0.5395,2
la2,DIAMOND,IV,Kusotori,213,177,0.5462,1
la2,DIAMOND,IV,dârk spectre,79,48,0.622,2
la2,DIAMOND,IV,cIassıc,114,108,0.5135,2
la2,DIAMOND,IV,Kizeto,205,212,0.4916,2
la2,DIAMOND,IV,The CöckFan,18,6,0.75,1
la2,DIAMOND,IV,Stalkêr Kun,202,157,0.5627,2
la2,DIAMOND,IV,Humble Diligent,75,88,0.4601,1
la2,DIAMOND,IV,HygerDL,264,244,0.5197,1
la2,DIAMOND,IV,abihue,238,227,0.5118,1
la2,DIAMOND,IV,Mijaíl,56,50,0.5283,1
la2,DIAMOND,IV,IceQ,116,115,0.5022,1
la2,DIAMOND,IV,Ittoryu user,182,150,0.5482,2
la2,DIAMOND,IV,pedrogor,234,194,0.5467,2
la2,DIAMOND,IV,ExplosionDays,72,48,0.6,2
la2,DIAMOND,IV,DYM0,260,248,0.5118,2
la2,DIAMOND,IV,Not 2 Shabby,44,37,0.5432,1
la2,DIAMOND,IV,cesarbanana55,154,121,0.56,2
la2,DIAMOND,IV,Playboy Gnazziu,126,105,0.5455,1
la2,DIAMOND,IV,El Más Lindo,155,151,0.5065,2
la2,DIAMOND,IV,CacahuateCosmico,109,73,0.5989,2
la2,DIAMOND,IV,Watåme Simp,33,28,0.541,2
la2,DIAMOND,IV,RG Psycocat ,331,354,0.4832,2
la2,DIAMOND,IV,Ambission,351,304,0.5359,2
la2,DIAMOND,IV,Fläwless,345,281,0.5511,2
la2,DIAMOND,IV,ßlackSpark,97,95,0.5052,2
la2,DIAMOND,IV,mlem,160,166,0.4908,1
la2,DIAMOND,IV,VÐ Ultra Vêrgano,96,108,0.4706,2
la2,DIAMOND,IV,Rash04,510,481,0.5146,2
la2,DIAMOND,IV,G4R7NT1NCH0,192,193,0.4987,2
la2,DIAMOND,IV,CDS Hombre Bala,115,99,0.5374,1
la2,DIAMOND,IV,Anivia JR,504,448,0.5294,2
la2,DIAMOND,IV,Young Savage ,161,128,0.5571,0
la2,DIAMOND,IV,Emelbar,134,114,0.5403,1
la2,DIAMOND,IV,TeRompoElCulo,322,304,0.5144,2
la2,DIAMOND,IV,Hauwu,169,120,0.5848,2
la2,DIAMOND,IV,M e y s s,134,120,0.5276,2
la2,DIAMOND,IV,xLink,118,82,0.59,2
la2,DIAMOND,IV,ElSeñorPapaFrita,95,100,0.4872,1
la2,DIAMOND,IV,Criogen,325,301,0.5192,2
