region,rank,division,summonerName,win,lose,winRatio,DorF
ru,DIAMOND,IV,Pon1kk,409,377,0.5204,1
ru,DIAMOND,IV,NEEROFLEXLORD,99,73,0.5756,1
ru,DIAMOND,IV,MiniKraken,465,484,0.49,2
ru,DIAMOND,IV,Deаd Space,111,99,0.5286,2
ru,DIAMOND,IV,Atziri,237,227,0.5108,1
ru,DIAMOND,IV,Lulu Abuserka,90,77,0.5389,1
ru,DIAMOND,IV,Joshmash,30,22,0.5769,2
ru,DIAMOND,IV,Šhìnıngˆsμnˇ,88,74,0.5432,2
ru,DIAMOND,IV,Nova629,9,8,0.5294,2
ru,DIAMOND,IV,SCP Yasuo ,96,86,0.5275,2
ru,DIAMOND,IV,Xamko,110,94,0.5392,2
ru,DIAMOND,IV,Silas Greaves,4,8,0.3333,0
ru,DIAMOND,IV,LiNeKi,178,162,0.5235,1
ru,DIAMOND,IV,Chachiburi19,39,19,0.6724,2
ru,DIAMOND,IV,Venomishe,148,139,0.5157,2
ru,DIAMOND,IV,Бандюэлич,271,235,0.5356,1
ru,DIAMOND,IV,Кибер Краб,72,46,0.6102,1
ru,DIAMOND,IV,amiroff,401,335,0.5448,2
ru,DIAMOND,IV,radaran,66,49,0.5739,2
ru,DIAMOND,IV,Mudvayne,59,55,0.5175,2
ru,DIAMOND,IV,HisBlueEyes,49,50,0.4949,1
ru,DIAMOND,IV,Snejkeee,83,59,0.5845,2
ru,DIAMOND,IV,VDØXNI,204,192,0.5152,2
ru,DIAMOND,IV,HerBrownEyes,67,49,0.5776,1
ru,DIAMOND,IV,Tot,236,239,0.4968,2
ru,DIAMOND,IV,Хворь,196,176,0.5269,1
ru,DIAMOND,IV,Брaтишкa,86,51,0.6277,2
ru,DIAMOND,IV,TLN Hotarika,127,111,0.5336,0
ru,DIAMOND,IV,ЯНКА ЩУПАЛЬЦА,51,27,0.6538,2
ru,DIAMOND,IV,Shrimр,117,98,0.5442,2
ru,DIAMOND,IV,Itimichi,222,193,0.5349,2
ru,DIAMOND,IV,JоkeD,214,196,0.522,2
ru,DIAMOND,IV,самир о4ка,78,71,0.5235,2
ru,DIAMOND,IV,DISCO SAMIRA,131,111,0.5413,2
ru,DIAMOND,IV,Hinо,95,75,0.5588,1
ru,DIAMOND,IV,Kenjo,196,216,0.4757,2
ru,DIAMOND,IV,yeczknesh,93,76,0.5503,2
ru,DIAMOND,IV,kipperin,195,177,0.5242,2
ru,DIAMOND,IV,Kelsian,219,183,0.5448,2
ru,DIAMOND,IV,Another CoinFlip,108,95,0.532,2
ru,DIAMOND,IV,ISilverRainI,160,158,0.5031,3
ru,DIAMOND,IV,Nаоfumi,191,189,0.5026,2
ru,DIAMOND,IV,Я хейм жди флейм,65,41,0.6132,2
ru,DIAMOND,IV,zSiDz,28,16,0.6364,2
ru,DIAMOND,IV,Мoлочко,153,138,0.5258,2
ru,DIAMOND,IV,FizFox,46,32,0.5897,2
ru,DIAMOND,IV,LECTER xdddddddd,197,184,0.5171,1
ru,DIAMOND,IV,BestToxicXayah,44,33,0.5714,1
ru,DIAMOND,IV,Apheliøs Abuser,470,452,0.5098,2
ru,DIAMOND,IV,Партизан Капибар,149,139,0.5174,2
ru,DIAMOND,IV,BoyBackDoor,210,181,0.5371,2
ru,DIAMOND,IV,IlIlIIlllIIlll,79,62,0.5603,2
ru,DIAMOND,IV,Aidrax,150,114,0.5682,2
ru,DIAMOND,IV,Purinsesu Kenny,150,158,0.487,2
ru,DIAMOND,IV,NovusRex,22,9,0.7097,2
ru,DIAMOND,IV,Xedin,128,128,0.5,2
ru,DIAMOND,IV,Sator,59,56,0.513,2
ru,DIAMOND,IV,ByrIak,50,25,0.6667,2
ru,DIAMOND,IV,i call him daddy,111,103,0.5187,1
ru,DIAMOND,IV,Śparkłeˇstãrˆ,117,93,0.5571,2
ru,DIAMOND,IV,Wooolfer,261,235,0.5262,2
ru,DIAMOND,IV,Sempai FP,120,112,0.5172,1
ru,DIAMOND,IV,NоMoreFear,123,85,0.5913,2
ru,DIAMOND,IV,Montigrom,162,147,0.5243,2
ru,DIAMOND,IV,noobchiks,274,257,0.516,2
ru,DIAMOND,IV, º Обожаю юми º ,123,84,0.5942,2
ru,DIAMOND,IV,watermelon,232,217,0.5167,2
ru,DIAMOND,IV,Сахарный Зилеан,91,70,0.5652,1
ru,DIAMOND,IV,Бущенная ТяH,121,105,0.5354,2
ru,DIAMOND,IV,Крабыч,126,126,0.5,2
ru,DIAMOND,IV,Yami Nomi Reta,131,98,0.5721,2
ru,DIAMOND,IV,Цветущая Вишенка,880,835,0.5131,1
ru,DIAMOND,IV,3Нundrеd0Bucks0,21,25,0.4565,1
ru,DIAMOND,IV,Пират Сирожа,256,232,0.5246,2
ru,DIAMOND,IV,88888,211,180,0.5396,2
ru,DIAMOND,IV,Lippie,51,43,0.5426,2
ru,DIAMOND,IV,Kardashian,202,177,0.533,2
ru,DIAMOND,IV,Filosof,115,108,0.5157,2
ru,DIAMOND,IV,FiftiethRiver,156,141,0.5253,2
